goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics 
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=4/msg=1232         	   19656	     61070 ns/op	        15.27 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=4/msg=1232         	   19644	     61072 ns/op	        15.27 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=4/msg=1232         	   19633	     61103 ns/op	        15.28 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=4/msg=1232         	   19638	     61056 ns/op	        15.26 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=4/msg=1232         	   19648	     61043 ns/op	        15.26 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=4/msg=1232         	   19657	     61037 ns/op	        15.26 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=4/msg=1232         	   19654	     61047 ns/op	        15.26 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=4/msg=1232         	   19652	     61055 ns/op	        15.26 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=4/msg=1232         	   19656	     61048 ns/op	        15.26 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=4/msg=1232         	   19653	     61061 ns/op	        15.27 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=8/msg=1232         	   10000	    119331 ns/op	        14.92 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=8/msg=1232         	   10000	    119352 ns/op	        14.92 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=8/msg=1232         	   10000	    119351 ns/op	        14.92 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=8/msg=1232         	   10000	    119341 ns/op	        14.92 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=8/msg=1232         	   10000	    119322 ns/op	        14.92 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=8/msg=1232         	   10000	    119299 ns/op	        14.91 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=8/msg=1232         	   10000	    119325 ns/op	        14.92 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=8/msg=1232         	   10000	    119249 ns/op	        14.91 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=8/msg=1232         	   10000	    119289 ns/op	        14.91 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=8/msg=1232         	   10000	    119301 ns/op	        14.91 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=64/msg=1232        	    1276	    934015 ns/op	        14.59 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=64/msg=1232        	    1282	    934078 ns/op	        14.59 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=64/msg=1232        	    1282	    934327 ns/op	        14.60 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=64/msg=1232        	    1282	    934244 ns/op	        14.60 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=64/msg=1232        	    1282	    934194 ns/op	        14.60 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=64/msg=1232        	    1282	    935168 ns/op	        14.61 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=64/msg=1232        	    1282	    933947 ns/op	        14.59 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=64/msg=1232        	    1284	    934252 ns/op	        14.60 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=64/msg=1232        	    1282	    934080 ns/op	        14.59 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMABatchQGate/decode=single-A/final=batch-Q/path=two-x4/radixA=32/fixedB=comb256/n=64/msg=1232        	    1284	    934000 ns/op	        14.59 µs/sig	       0 B/op	       0 allocs/op
PASS
ok  	github.com/Overclock-Validator/narya/ed25519	43.215s
