goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=200         	   87447	     27349 ns/op	     36565 sig/s	        27.35 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=200         	   87738	     27354 ns/op	     36558 sig/s	        27.35 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=200         	   87622	     27351 ns/op	     36562 sig/s	        27.35 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=200         	   87924	     27328 ns/op	     36592 sig/s	        27.33 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=200         	   87619	     27386 ns/op	     36516 sig/s	        27.39 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=200         	   87795	     27345 ns/op	     36570 sig/s	        27.34 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=2/msg=200         	   43771	     54916 ns/op	     36420 sig/s	        27.46 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=2/msg=200         	   43765	     54920 ns/op	     36416 sig/s	        27.46 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=2/msg=200         	   43766	     54877 ns/op	     36445 sig/s	        27.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=2/msg=200         	   43689	     54885 ns/op	     36440 sig/s	        27.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=2/msg=200         	   43772	     54847 ns/op	     36465 sig/s	        27.42 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=2/msg=200         	   43778	     54815 ns/op	     36486 sig/s	        27.41 µs/sig	       0 B/op	       0 allocs/op
