goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=200         	   94077	     25489 ns/op	     39233 sig/s	        25.49 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=200         	   94188	     25497 ns/op	     39220 sig/s	        25.50 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=200         	   94030	     25487 ns/op	     39236 sig/s	        25.49 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=200         	   94138	     25488 ns/op	     39234 sig/s	        25.49 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=200         	   94167	     25499 ns/op	     39217 sig/s	        25.50 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=200         	   94072	     25506 ns/op	     39207 sig/s	        25.51 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=200         	   47215	     50822 ns/op	     39353 sig/s	        25.41 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=200         	   47211	     50834 ns/op	     39344 sig/s	        25.42 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=200         	   47197	     50835 ns/op	     39343 sig/s	        25.42 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=200         	   47197	     50845 ns/op	     39335 sig/s	        25.42 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=200         	   47188	     50872 ns/op	     39314 sig/s	        25.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=200         	   47181	     50877 ns/op	     39311 sig/s	        25.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=3/msg=200         	   31669	     75762 ns/op	     39598 sig/s	        25.25 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=3/msg=200         	   31675	     75759 ns/op	     39599 sig/s	        25.25 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=3/msg=200         	   31677	     75758 ns/op	     39600 sig/s	        25.25 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=3/msg=200         	   31688	     75754 ns/op	     39602 sig/s	        25.25 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=3/msg=200         	   31683	     75762 ns/op	     39598 sig/s	        25.25 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=3/msg=200         	   31663	     75764 ns/op	     39597 sig/s	        25.25 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=4/msg=200         	   23685	    101373 ns/op	     39458 sig/s	        25.34 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=4/msg=200         	   23685	    101330 ns/op	     39475 sig/s	        25.33 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=4/msg=200         	   23672	    101360 ns/op	     39463 sig/s	        25.34 µs/sig	       0 B/op	       0 allocs/op
