goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=1/msg=200         	  112242	     21394 ns/op	     46743 sig/s	        21.39 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=1/msg=200         	  112143	     21399 ns/op	     46730 sig/s	        21.40 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=1/msg=200         	  112026	     21410 ns/op	     46707 sig/s	        21.41 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=1/msg=200         	  112094	     21410 ns/op	     46707 sig/s	        21.41 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=1/msg=200         	  112039	     21412 ns/op	     46704 sig/s	        21.41 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=1/msg=200         	  112096	     21415 ns/op	     46697 sig/s	        21.41 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=2/msg=200         	   56320	     42572 ns/op	     46979 sig/s	        21.29 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=2/msg=200         	   56370	     42567 ns/op	     46985 sig/s	        21.28 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=2/msg=200         	   56377	     42575 ns/op	     46976 sig/s	        21.29 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=2/msg=200         	   56367	     42578 ns/op	     46973 sig/s	        21.29 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=2/msg=200         	   56350	     42584 ns/op	     46966 sig/s	        21.29 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=2/msg=200         	   56330	     42599 ns/op	     46949 sig/s	        21.30 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=3/msg=200         	   37554	     63914 ns/op	     46938 sig/s	        21.30 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=3/msg=200         	   37533	     63908 ns/op	     46942 sig/s	        21.30 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=3/msg=200         	   37543	     63897 ns/op	     46950 sig/s	        21.30 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=3/msg=200         	   37555	     63905 ns/op	     46944 sig/s	        21.30 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=3/msg=200         	   37546	     63905 ns/op	     46945 sig/s	        21.30 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=3/msg=200         	   37551	     63893 ns/op	     46954 sig/s	        21.30 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=4/msg=200         	   27982	     85774 ns/op	     46634 sig/s	        21.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=4/msg=200         	   27978	     85770 ns/op	     46636 sig/s	        21.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=4/msg=200         	   27975	     85775 ns/op	     46633 sig/s	        21.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=4/msg=200         	   27968	     85802 ns/op	     46619 sig/s	        21.45 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=4/msg=200         	   27973	     85793 ns/op	     46624 sig/s	        21.45 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=4/msg=200         	   27974	     85779 ns/op	     46631 sig/s	        21.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=5/msg=200         	   22508	    106606 ns/op	     46902 sig/s	        21.32 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=5/msg=200         	   22506	    106613 ns/op	     46899 sig/s	        21.32 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=5/msg=200         	   22509	    106609 ns/op	     46901 sig/s	        21.32 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=5/msg=200         	   22507	    106612 ns/op	     46899 sig/s	        21.32 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=5/msg=200         	   22509	    106621 ns/op	     46895 sig/s	        21.32 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=5/msg=200         	   22513	    106627 ns/op	     46892 sig/s	        21.33 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=8/msg=200         	   14012	    171333 ns/op	     46693 sig/s	        21.42 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=8/msg=200         	   14010	    171295 ns/op	     46703 sig/s	        21.41 µs/sig	       0 B/op	       0 allocs/op
