goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=200         	   65881	     36467 ns/op	     27422 sig/s	        36.47 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=200         	   65794	     36487 ns/op	     27407 sig/s	        36.49 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=200         	   65761	     36483 ns/op	     27410 sig/s	        36.48 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=200         	   65781	     36480 ns/op	     27412 sig/s	        36.48 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=200         	   65786	     36484 ns/op	     27409 sig/s	        36.48 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=200         	   65787	     36487 ns/op	     27407 sig/s	        36.49 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=2/msg=200         	   32581	     73663 ns/op	     27151 sig/s	        36.83 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=2/msg=200         	   32582	     73661 ns/op	     27151 sig/s	        36.83 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=2/msg=200         	   32577	     73655 ns/op	     27154 sig/s	        36.83 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=2/msg=200         	   32587	     73663 ns/op	     27151 sig/s	        36.83 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=2/msg=200         	   32575	     73650 ns/op	     27155 sig/s	        36.82 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=2/msg=200         	   32582	     73704 ns/op	     27136 sig/s	        36.85 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=3/msg=200         	   21946	    109351 ns/op	     27435 sig/s	        36.45 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=3/msg=200         	   21943	    109338 ns/op	     27438 sig/s	        36.45 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=3/msg=200         	   21948	    109332 ns/op	     27439 sig/s	        36.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=3/msg=200         	   21951	    109327 ns/op	     27441 sig/s	        36.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=3/msg=200         	   21950	    109333 ns/op	     27439 sig/s	        36.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=3/msg=200         	   21956	    109343 ns/op	     27437 sig/s	        36.45 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=4/msg=200         	   16395	    146385 ns/op	     27325 sig/s	        36.60 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=4/msg=200         	   16394	    146369 ns/op	     27328 sig/s	        36.59 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=4/msg=200         	   16399	    146385 ns/op	     27325 sig/s	        36.60 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=4/msg=200         	   16395	    146420 ns/op	     27319 sig/s	        36.60 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=4/msg=200         	   16395	    146368 ns/op	     27328 sig/s	        36.59 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=4/msg=200         	   16396	    146385 ns/op	     27325 sig/s	        36.60 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=5/msg=200         	   13052	    183851 ns/op	     27196 sig/s	        36.77 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=5/msg=200         	   13053	    183838 ns/op	     27198 sig/s	        36.77 µs/sig	       0 B/op	       0 allocs/op
