fuzz: elapsed: 0s, gathering baseline coverage: 0/98 completed
fuzz: elapsed: 0s, gathering baseline coverage: 98/98 completed, now fuzzing with 1 workers
fuzz: elapsed: 3s, execs: 2369 (789/sec), new interesting: 1 (total: 99)
fuzz: elapsed: 6s, execs: 2369 (0/sec), new interesting: 1 (total: 99)
fuzz: elapsed: 9s, execs: 2369 (0/sec), new interesting: 1 (total: 99)
fuzz: elapsed: 12s, execs: 2369 (0/sec), new interesting: 1 (total: 99)
fuzz: elapsed: 15s, execs: 2369 (0/sec), new interesting: 1 (total: 99)
fuzz: elapsed: 18s, execs: 2369 (0/sec), new interesting: 1 (total: 99)
fuzz: elapsed: 21s, execs: 2369 (0/sec), new interesting: 1 (total: 99)
fuzz: elapsed: 24s, execs: 2369 (0/sec), new interesting: 1 (total: 99)
fuzz: elapsed: 27s, execs: 4682 (772/sec), new interesting: 3 (total: 101)
fuzz: elapsed: 30s, execs: 4682 (0/sec), new interesting: 3 (total: 101)
fuzz: elapsed: 33s, execs: 9594 (1638/sec), new interesting: 5 (total: 103)
fuzz: elapsed: 36s, execs: 9594 (0/sec), new interesting: 5 (total: 103)
fuzz: elapsed: 39s, execs: 9594 (0/sec), new interesting: 5 (total: 103)
fuzz: elapsed: 42s, execs: 9594 (0/sec), new interesting: 5 (total: 103)
fuzz: elapsed: 45s, execs: 9594 (0/sec), new interesting: 5 (total: 103)
fuzz: elapsed: 48s, execs: 9594 (0/sec), new interesting: 5 (total: 103)
fuzz: elapsed: 51s, execs: 9594 (0/sec), new interesting: 5 (total: 103)
fuzz: elapsed: 54s, execs: 18330 (2915/sec), new interesting: 8 (total: 106)
fuzz: elapsed: 57s, execs: 20550 (740/sec), new interesting: 9 (total: 107)
fuzz: elapsed: 1m0s, execs: 20550 (0/sec), new interesting: 9 (total: 107)
fuzz: elapsed: 1m3s, execs: 20550 (0/sec), new interesting: 9 (total: 107)
fuzz: elapsed: 1m6s, execs: 23205 (886/sec), new interesting: 13 (total: 111)
fuzz: elapsed: 1m9s, execs: 28896 (1897/sec), new interesting: 18 (total: 116)
fuzz: elapsed: 1m12s, execs: 28905 (3/sec), new interesting: 18 (total: 116)
fuzz: elapsed: 1m15s, execs: 34122 (1740/sec), new interesting: 23 (total: 121)
fuzz: elapsed: 1m18s, execs: 36778 (885/sec), new interesting: 29 (total: 127)
fuzz: elapsed: 1m21s, execs: 39779 (1000/sec), new interesting: 33 (total: 131)
fuzz: elapsed: 1m24s, execs: 40437 (219/sec), new interesting: 39 (total: 137)
fuzz: elapsed: 1m27s, execs: 43018 (860/sec), new interesting: 44 (total: 142)
fuzz: elapsed: 1m30s, execs: 45559 (847/sec), new interesting: 47 (total: 145)
fuzz: elapsed: 1m33s, execs: 48090 (843/sec), new interesting: 49 (total: 147)
fuzz: elapsed: 1m36s, execs: 50412 (774/sec), new interesting: 50 (total: 148)
fuzz: elapsed: 1m39s, execs: 55264 (1618/sec), new interesting: 52 (total: 150)
fuzz: elapsed: 1m42s, execs: 55341 (26/sec), new interesting: 52 (total: 150)
fuzz: elapsed: 1m45s, execs: 55341 (0/sec), new interesting: 52 (total: 150)
fuzz: elapsed: 1m48s, execs: 55341 (0/sec), new interesting: 52 (total: 150)
fuzz: elapsed: 1m51s, execs: 55341 (0/sec), new interesting: 52 (total: 150)
fuzz: elapsed: 1m54s, execs: 55341 (0/sec), new interesting: 52 (total: 150)
fuzz: elapsed: 1m57s, execs: 55341 (0/sec), new interesting: 52 (total: 150)
fuzz: elapsed: 2m0s, execs: 55341 (0/sec), new interesting: 52 (total: 150)
fuzz: elapsed: 2m3s, execs: 55341 (0/sec), new interesting: 52 (total: 150)
fuzz: elapsed: 2m6s, execs: 57806 (822/sec), new interesting: 53 (total: 151)
fuzz: elapsed: 2m9s, execs: 57806 (0/sec), new interesting: 53 (total: 151)
fuzz: elapsed: 2m12s, execs: 63957 (2051/sec), new interesting: 55 (total: 153)
fuzz: elapsed: 2m15s, execs: 63957 (0/sec), new interesting: 55 (total: 153)
fuzz: elapsed: 2m18s, execs: 63957 (0/sec), new interesting: 55 (total: 153)
fuzz: elapsed: 2m21s, execs: 63957 (0/sec), new interesting: 55 (total: 153)
fuzz: elapsed: 2m24s, execs: 63957 (0/sec), new interesting: 55 (total: 153)
fuzz: elapsed: 2m27s, execs: 63957 (0/sec), new interesting: 55 (total: 153)
fuzz: elapsed: 2m30s, execs: 63957 (0/sec), new interesting: 55 (total: 153)
fuzz: elapsed: 2m33s, execs: 63957 (0/sec), new interesting: 55 (total: 153)
fuzz: elapsed: 2m36s, execs: 66241 (762/sec), new interesting: 56 (total: 154)
fuzz: elapsed: 2m39s, execs: 70736 (1498/sec), new interesting: 58 (total: 156)
fuzz: elapsed: 2m42s, execs: 70736 (0/sec), new interesting: 58 (total: 156)
fuzz: elapsed: 2m45s, execs: 70736 (0/sec), new interesting: 58 (total: 156)
fuzz: elapsed: 2m48s, execs: 70736 (0/sec), new interesting: 58 (total: 156)
fuzz: elapsed: 2m51s, execs: 70736 (0/sec), new interesting: 58 (total: 156)
fuzz: elapsed: 2m54s, execs: 70736 (0/sec), new interesting: 58 (total: 156)
fuzz: elapsed: 2m57s, execs: 70736 (0/sec), new interesting: 58 (total: 156)
fuzz: elapsed: 3m0s, execs: 70736 (0/sec), new interesting: 58 (total: 156)
fuzz: elapsed: 3m3s, execs: 73324 (863/sec), new interesting: 61 (total: 159)
fuzz: elapsed: 3m6s, execs: 76269 (982/sec), new interesting: 66 (total: 164)
fuzz: elapsed: 3m9s, execs: 79444 (1058/sec), new interesting: 68 (total: 166)
fuzz: elapsed: 3m12s, execs: 79444 (0/sec), new interesting: 68 (total: 166)
fuzz: elapsed: 3m15s, execs: 79444 (0/sec), new interesting: 68 (total: 166)
fuzz: elapsed: 3m18s, execs: 81741 (766/sec), new interesting: 70 (total: 168)
fuzz: elapsed: 3m21s, execs: 81741 (0/sec), new interesting: 70 (total: 168)
fuzz: elapsed: 3m24s, execs: 86626 (1630/sec), new interesting: 72 (total: 170)
fuzz: elapsed: 3m27s, execs: 89499 (958/sec), new interesting: 76 (total: 174)
fuzz: elapsed: 3m30s, execs: 90494 (332/sec), new interesting: 79 (total: 177)
fuzz: elapsed: 3m33s, execs: 95450 (1652/sec), new interesting: 84 (total: 182)
fuzz: elapsed: 3m36s, execs: 95608 (53/sec), new interesting: 86 (total: 184)
fuzz: elapsed: 3m39s, execs: 95608 (0/sec), new interesting: 86 (total: 184)
fuzz: elapsed: 3m42s, execs: 98021 (805/sec), new interesting: 88 (total: 186)
fuzz: elapsed: 3m45s, execs: 100299 (759/sec), new interesting: 89 (total: 187)
fuzz: elapsed: 3m48s, execs: 100299 (0/sec), new interesting: 89 (total: 187)
fuzz: elapsed: 3m51s, execs: 100299 (0/sec), new interesting: 89 (total: 187)
fuzz: elapsed: 3m54s, execs: 100299 (0/sec), new interesting: 89 (total: 187)
fuzz: elapsed: 3m57s, execs: 105020 (1575/sec), new interesting: 93 (total: 191)
fuzz: elapsed: 4m0s, execs: 105282 (87/sec), new interesting: 95 (total: 193)
fuzz: elapsed: 4m3s, execs: 105282 (0/sec), new interesting: 95 (total: 193)
fuzz: elapsed: 4m6s, execs: 110492 (1738/sec), new interesting: 101 (total: 199)
fuzz: elapsed: 4m9s, execs: 110664 (57/sec), new interesting: 102 (total: 200)
fuzz: elapsed: 4m12s, execs: 110664 (0/sec), new interesting: 102 (total: 200)
fuzz: elapsed: 4m15s, execs: 113176 (838/sec), new interesting: 106 (total: 204)
fuzz: elapsed: 4m18s, execs: 113176 (0/sec), new interesting: 106 (total: 204)
fuzz: elapsed: 4m21s, execs: 113176 (0/sec), new interesting: 106 (total: 204)
fuzz: elapsed: 4m24s, execs: 113176 (0/sec), new interesting: 106 (total: 204)
fuzz: elapsed: 4m27s, execs: 113176 (0/sec), new interesting: 106 (total: 204)
fuzz: elapsed: 4m30s, execs: 113176 (0/sec), new interesting: 106 (total: 204)
fuzz: elapsed: 4m33s, execs: 113176 (0/sec), new interesting: 106 (total: 204)
fuzz: elapsed: 4m36s, execs: 115425 (750/sec), new interesting: 107 (total: 205)
fuzz: elapsed: 4m39s, execs: 115534 (36/sec), new interesting: 108 (total: 206)
fuzz: elapsed: 4m42s, execs: 115534 (0/sec), new interesting: 108 (total: 206)
fuzz: elapsed: 4m45s, execs: 118175 (881/sec), new interesting: 110 (total: 208)
fuzz: elapsed: 4m48s, execs: 118175 (0/sec), new interesting: 110 (total: 208)
fuzz: elapsed: 4m51s, execs: 118175 (0/sec), new interesting: 110 (total: 208)
fuzz: elapsed: 4m54s, execs: 120567 (798/sec), new interesting: 111 (total: 209)
fuzz: elapsed: 4m57s, execs: 120567 (0/sec), new interesting: 111 (total: 209)
fuzz: elapsed: 5m0s, execs: 126385 (1941/sec), new interesting: 113 (total: 211)
fuzz: elapsed: 5m3s, execs: 127111 (242/sec), new interesting: 114 (total: 212)
fuzz: elapsed: 5m6s, execs: 130240 (1043/sec), new interesting: 116 (total: 214)
fuzz: elapsed: 5m9s, execs: 131682 (481/sec), new interesting: 117 (total: 215)
fuzz: elapsed: 5m12s, execs: 133218 (512/sec), new interesting: 119 (total: 217)
fuzz: elapsed: 5m15s, execs: 135622 (801/sec), new interesting: 119 (total: 217)
fuzz: elapsed: 5m18s, execs: 139194 (1191/sec), new interesting: 120 (total: 218)
fuzz: elapsed: 5m21s, execs: 140246 (351/sec), new interesting: 122 (total: 220)
fuzz: elapsed: 5m24s, execs: 143210 (988/sec), new interesting: 125 (total: 223)
fuzz: elapsed: 5m27s, execs: 144075 (288/sec), new interesting: 127 (total: 225)
fuzz: elapsed: 5m30s, execs: 144404 (110/sec), new interesting: 128 (total: 226)
fuzz: elapsed: 5m33s, execs: 144404 (0/sec), new interesting: 128 (total: 226)
fuzz: elapsed: 5m36s, execs: 146857 (818/sec), new interesting: 129 (total: 227)
fuzz: elapsed: 5m39s, execs: 146857 (0/sec), new interesting: 129 (total: 227)
fuzz: elapsed: 5m42s, execs: 146857 (0/sec), new interesting: 129 (total: 227)
fuzz: elapsed: 5m45s, execs: 149107 (751/sec), new interesting: 130 (total: 228)
fuzz: elapsed: 5m48s, execs: 149107 (0/sec), new interesting: 130 (total: 228)
fuzz: elapsed: 5m51s, execs: 155186 (2028/sec), new interesting: 134 (total: 232)
fuzz: elapsed: 5m54s, execs: 155490 (101/sec), new interesting: 135 (total: 233)
fuzz: elapsed: 5m57s, execs: 155490 (0/sec), new interesting: 135 (total: 233)
fuzz: elapsed: 6m0s, execs: 157949 (820/sec), new interesting: 136 (total: 234)
fuzz: elapsed: 6m3s, execs: 161523 (1191/sec), new interesting: 138 (total: 236)
fuzz: elapsed: 6m6s, execs: 165236 (1238/sec), new interesting: 139 (total: 237)
fuzz: elapsed: 6m9s, execs: 166535 (433/sec), new interesting: 141 (total: 239)
fuzz: elapsed: 6m12s, execs: 167068 (178/sec), new interesting: 141 (total: 239)
fuzz: elapsed: 6m15s, execs: 167068 (0/sec), new interesting: 141 (total: 239)
fuzz: elapsed: 6m18s, execs: 167068 (0/sec), new interesting: 141 (total: 239)
fuzz: elapsed: 6m21s, execs: 167068 (0/sec), new interesting: 141 (total: 239)
fuzz: elapsed: 6m24s, execs: 167068 (0/sec), new interesting: 141 (total: 239)
fuzz: elapsed: 6m27s, execs: 167068 (0/sec), new interesting: 141 (total: 239)
fuzz: elapsed: 6m30s, execs: 167068 (0/sec), new interesting: 141 (total: 239)
fuzz: elapsed: 6m33s, execs: 167068 (0/sec), new interesting: 141 (total: 239)
fuzz: elapsed: 6m36s, execs: 167068 (0/sec), new interesting: 141 (total: 239)
fuzz: elapsed: 6m39s, execs: 167068 (0/sec), new interesting: 141 (total: 239)
fuzz: elapsed: 6m42s, execs: 167068 (0/sec), new interesting: 141 (total: 239)
fuzz: elapsed: 6m45s, execs: 167068 (0/sec), new interesting: 141 (total: 239)
fuzz: elapsed: 6m48s, execs: 167068 (0/sec), new interesting: 141 (total: 239)
fuzz: elapsed: 6m51s, execs: 167068 (0/sec), new interesting: 141 (total: 239)
fuzz: elapsed: 6m54s, execs: 167068 (0/sec), new interesting: 141 (total: 239)
fuzz: elapsed: 6m57s, execs: 167068 (0/sec), new interesting: 141 (total: 239)
