fuzz: elapsed: 0s, gathering baseline coverage: 0/14 completed
fuzz: elapsed: 0s, gathering baseline coverage: 14/14 completed, now fuzzing with 1 workers
fuzz: elapsed: 3s, execs: 32484 (10824/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 6s, execs: 100822 (22772/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 9s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 12s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 15s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 18s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 21s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 24s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 27s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 30s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 33s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 36s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 39s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 42s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 45s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 48s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 51s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 54s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 57s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 1m0s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 1m3s, execs: 100822 (0/sec), new interesting: 10 (total: 24)
fuzz: elapsed: 1m6s, execs: 100857 (12/sec), new interesting: 11 (total: 25)
fuzz: elapsed: 1m9s, execs: 100857 (0/sec), new interesting: 11 (total: 25)
fuzz: elapsed: 1m12s, execs: 100857 (0/sec), new interesting: 11 (total: 25)
fuzz: elapsed: 1m15s, execs: 100857 (0/sec), new interesting: 11 (total: 25)
fuzz: elapsed: 1m18s, execs: 100857 (0/sec), new interesting: 11 (total: 25)
fuzz: elapsed: 1m21s, execs: 100857 (0/sec), new interesting: 11 (total: 25)
fuzz: elapsed: 1m24s, execs: 100857 (0/sec), new interesting: 11 (total: 25)
fuzz: elapsed: 1m27s, execs: 345791 (81699/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 1m30s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 1m33s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 1m36s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 1m39s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 1m42s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 1m45s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 1m48s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 1m51s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 1m54s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 1m57s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 2m0s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 2m3s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 2m6s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 2m9s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 2m12s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 2m15s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 2m18s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 2m21s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 2m24s, execs: 345791 (0/sec), new interesting: 15 (total: 29)
fuzz: elapsed: 2m27s, execs: 391047 (15094/sec), new interesting: 19 (total: 33)
fuzz: elapsed: 2m30s, execs: 399440 (2797/sec), new interesting: 19 (total: 33)
fuzz: elapsed: 2m33s, execs: 399440 (0/sec), new interesting: 19 (total: 33)
fuzz: elapsed: 2m36s, execs: 399440 (0/sec), new interesting: 19 (total: 33)
fuzz: elapsed: 2m39s, execs: 523204 (41283/sec), new interesting: 20 (total: 34)
fuzz: elapsed: 2m42s, execs: 523204 (0/sec), new interesting: 20 (total: 34)
fuzz: elapsed: 2m45s, execs: 523204 (0/sec), new interesting: 20 (total: 34)
fuzz: elapsed: 2m48s, execs: 523204 (0/sec), new interesting: 20 (total: 34)
fuzz: elapsed: 2m51s, execs: 523204 (0/sec), new interesting: 20 (total: 34)
fuzz: elapsed: 2m54s, execs: 523204 (0/sec), new interesting: 20 (total: 34)
fuzz: elapsed: 2m57s, execs: 523204 (0/sec), new interesting: 20 (total: 34)
fuzz: elapsed: 3m0s, execs: 523204 (0/sec), new interesting: 20 (total: 34)
fuzz: elapsed: 3m3s, execs: 523204 (0/sec), new interesting: 20 (total: 34)
fuzz: elapsed: 3m6s, execs: 523204 (0/sec), new interesting: 20 (total: 34)
fuzz: elapsed: 3m9s, execs: 523204 (0/sec), new interesting: 20 (total: 34)
fuzz: elapsed: 3m12s, execs: 523204 (0/sec), new interesting: 20 (total: 34)
fuzz: elapsed: 3m15s, execs: 523204 (0/sec), new interesting: 20 (total: 34)
fuzz: elapsed: 3m18s, execs: 523204 (0/sec), new interesting: 20 (total: 34)
fuzz: elapsed: 3m21s, execs: 523204 (0/sec), new interesting: 20 (total: 34)
