fuzz: elapsed: 0s, gathering baseline coverage: 0/39 completed
fuzz: elapsed: 0s, gathering baseline coverage: 39/39 completed, now fuzzing with 1 workers
fuzz: elapsed: 3s, execs: 15432 (5144/sec), new interesting: 2 (total: 41)
fuzz: elapsed: 6s, execs: 24840 (3135/sec), new interesting: 2 (total: 41)
fuzz: elapsed: 9s, execs: 40558 (5241/sec), new interesting: 2 (total: 41)
fuzz: elapsed: 12s, execs: 53227 (4222/sec), new interesting: 2 (total: 41)
fuzz: elapsed: 15s, execs: 66039 (4271/sec), new interesting: 2 (total: 41)
fuzz: elapsed: 18s, execs: 84540 (6167/sec), new interesting: 2 (total: 41)
fuzz: elapsed: 21s, execs: 100089 (5182/sec), new interesting: 2 (total: 41)
fuzz: elapsed: 24s, execs: 118590 (6167/sec), new interesting: 3 (total: 42)
fuzz: elapsed: 27s, execs: 138361 (6590/sec), new interesting: 4 (total: 43)
fuzz: elapsed: 30s, execs: 163369 (8335/sec), new interesting: 5 (total: 44)
fuzz: elapsed: 33s, execs: 176218 (4284/sec), new interesting: 5 (total: 44)
fuzz: elapsed: 36s, execs: 189159 (4313/sec), new interesting: 5 (total: 44)
fuzz: elapsed: 39s, execs: 198405 (3083/sec), new interesting: 5 (total: 44)
fuzz: elapsed: 42s, execs: 218962 (6852/sec), new interesting: 6 (total: 45)
fuzz: elapsed: 45s, execs: 241351 (7462/sec), new interesting: 7 (total: 46)
fuzz: elapsed: 48s, execs: 254052 (4233/sec), new interesting: 7 (total: 46)
fuzz: elapsed: 51s, execs: 269512 (5153/sec), new interesting: 7 (total: 46)
fuzz: elapsed: 54s, execs: 293077 (7856/sec), new interesting: 7 (total: 46)
fuzz: elapsed: 57s, execs: 311154 (6025/sec), new interesting: 8 (total: 47)
fuzz: elapsed: 1m0s, execs: 336524 (8457/sec), new interesting: 8 (total: 47)
fuzz: elapsed: 1m3s, execs: 349362 (4279/sec), new interesting: 8 (total: 47)
fuzz: elapsed: 1m6s, execs: 365334 (5324/sec), new interesting: 8 (total: 47)
fuzz: elapsed: 1m9s, execs: 378337 (4334/sec), new interesting: 8 (total: 47)
fuzz: elapsed: 1m12s, execs: 396497 (6054/sec), new interesting: 8 (total: 47)
fuzz: elapsed: 1m15s, execs: 411314 (4939/sec), new interesting: 8 (total: 47)
fuzz: elapsed: 1m18s, execs: 433690 (7459/sec), new interesting: 8 (total: 47)
fuzz: elapsed: 1m21s, execs: 452536 (6282/sec), new interesting: 8 (total: 47)
fuzz: elapsed: 1m24s, execs: 476466 (7977/sec), new interesting: 10 (total: 49)
fuzz: elapsed: 1m27s, execs: 497923 (7151/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 1m30s, execs: 513590 (5222/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 1m33s, execs: 525888 (4100/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 1m36s, execs: 536031 (3381/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 1m39s, execs: 551210 (5059/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 1m42s, execs: 569718 (6170/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 1m45s, execs: 588426 (6234/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 1m48s, execs: 606237 (5938/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 1m51s, execs: 625465 (6409/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 1m54s, execs: 646792 (7108/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 1m57s, execs: 665846 (6352/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 2m0s, execs: 686956 (7037/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 2m3s, execs: 695549 (2865/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 2m6s, execs: 712758 (5736/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 2m9s, execs: 725560 (4267/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 2m12s, execs: 734880 (3106/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 2m15s, execs: 762841 (9322/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 2m18s, execs: 773319 (3492/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 2m21s, execs: 793645 (6776/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 2m24s, execs: 813231 (6527/sec), new interesting: 11 (total: 50)
fuzz: elapsed: 2m27s, execs: 834401 (7059/sec), new interesting: 14 (total: 53)
fuzz: elapsed: 2m30s, execs: 855508 (7034/sec), new interesting: 16 (total: 55)
fuzz: elapsed: 2m33s, execs: 875191 (6561/sec), new interesting: 16 (total: 55)
fuzz: elapsed: 2m36s, execs: 891384 (5397/sec), new interesting: 16 (total: 55)
fuzz: elapsed: 2m39s, execs: 914094 (7570/sec), new interesting: 16 (total: 55)
fuzz: elapsed: 2m42s, execs: 929237 (5048/sec), new interesting: 16 (total: 55)
fuzz: elapsed: 2m45s, execs: 941051 (3938/sec), new interesting: 16 (total: 55)
fuzz: elapsed: 2m48s, execs: 954939 (4630/sec), new interesting: 16 (total: 55)
fuzz: elapsed: 2m51s, execs: 964542 (3201/sec), new interesting: 16 (total: 55)
fuzz: elapsed: 2m54s, execs: 985517 (6990/sec), new interesting: 16 (total: 55)
fuzz: elapsed: 2m57s, execs: 1009717 (8067/sec), new interesting: 17 (total: 56)
fuzz: elapsed: 3m0s, execs: 1035128 (8471/sec), new interesting: 17 (total: 56)
fuzz: elapsed: 3m3s, execs: 1057029 (7299/sec), new interesting: 17 (total: 56)
fuzz: elapsed: 3m6s, execs: 1074257 (5743/sec), new interesting: 17 (total: 56)
fuzz: elapsed: 3m9s, execs: 1086633 (4126/sec), new interesting: 17 (total: 56)
fuzz: elapsed: 3m12s, execs: 1100706 (4690/sec), new interesting: 17 (total: 56)
fuzz: elapsed: 3m15s, execs: 1125619 (8306/sec), new interesting: 17 (total: 56)
fuzz: elapsed: 3m18s, execs: 1138983 (4455/sec), new interesting: 17 (total: 56)
fuzz: elapsed: 3m21s, execs: 1151955 (4324/sec), new interesting: 17 (total: 56)
fuzz: elapsed: 3m24s, execs: 1167589 (5211/sec), new interesting: 17 (total: 56)
fuzz: elapsed: 3m27s, execs: 1190382 (7596/sec), new interesting: 17 (total: 56)
fuzz: elapsed: 3m30s, execs: 1217687 (9102/sec), new interesting: 17 (total: 56)
fuzz: elapsed: 3m33s, execs: 1241563 (7959/sec), new interesting: 18 (total: 57)
fuzz: elapsed: 3m36s, execs: 1259563 (6001/sec), new interesting: 18 (total: 57)
fuzz: elapsed: 3m39s, execs: 1277335 (5923/sec), new interesting: 18 (total: 57)
fuzz: elapsed: 3m42s, execs: 1289633 (4100/sec), new interesting: 18 (total: 57)
fuzz: elapsed: 3m45s, execs: 1298396 (2920/sec), new interesting: 18 (total: 57)
fuzz: elapsed: 3m48s, execs: 1298396 (0/sec), new interesting: 18 (total: 57)
fuzz: elapsed: 3m51s, execs: 1298396 (0/sec), new interesting: 18 (total: 57)
