goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics
BenchmarkPublicR51VerifyBatchStrict/msg=64/n=2         	   69201	     51982 ns/op	   2.46 MB/s	     38475 signatures/s	        25.99 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=64/n=2         	   69222	     51983 ns/op	   2.46 MB/s	     38474 signatures/s	        25.99 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=64/n=2         	   69249	     51994 ns/op	   2.46 MB/s	     38466 signatures/s	        26.00 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=64/n=2         	   69256	     51989 ns/op	   2.46 MB/s	     38469 signatures/s	        25.99 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=64/n=2         	   69241	     51985 ns/op	   2.46 MB/s	     38473 signatures/s	        25.99 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=64/n=2         	   69272	     51981 ns/op	   2.46 MB/s	     38476 signatures/s	        25.99 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=64/n=2         	   69253	     52026 ns/op	   2.46 MB/s	     38443 signatures/s	        26.01 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=64/n=2         	   69225	     51997 ns/op	   2.46 MB/s	     38464 signatures/s	        26.00 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=64/n=2         	   69212	     52008 ns/op	   2.46 MB/s	     38455 signatures/s	        26.00 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=64/n=2         	   69230	     51992 ns/op	   2.46 MB/s	     38468 signatures/s	        26.00 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2        	   69108	     52087 ns/op	   7.68 MB/s	     38397 signatures/s	        26.04 us/signature	       0 B/op	       0 allocs/op
