goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=private-core         	  132498	     27113 ns/op	        27.11 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=private-core         	  132882	     27128 ns/op	        27.13 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=private-core         	  132766	     27111 ns/op	        27.11 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=private-core         	  132795	     27118 ns/op	        27.12 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=private-core         	  132679	     27105 ns/op	        27.11 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=private-core         	  132796	     27110 ns/op	        27.11 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=private-core         	  132696	     27105 ns/op	        27.11 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=private-core         	  132560	     27100 ns/op	        27.10 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=private-core         	  132787	     27114 ns/op	        27.11 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=private-core         	  132748	     27109 ns/op	        27.11 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=public-wrapper       	  137768	     26124 ns/op	        26.12 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=public-wrapper       	  137650	     26124 ns/op	        26.12 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=public-wrapper       	  137700	     26133 ns/op	        26.13 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=public-wrapper       	  137556	     26125 ns/op	        26.12 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=public-wrapper       	  137781	     26134 ns/op	        26.13 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=public-wrapper       	  137798	     26129 ns/op	        26.13 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=public-wrapper       	  137895	     26109 ns/op	        26.11 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=public-wrapper       	  137733	     26108 ns/op	        26.11 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=public-wrapper       	  137937	     26119 ns/op	        26.12 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=1/path=public-wrapper       	  137754	     26146 ns/op	        26.15 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=4/path=private-core         	   57933	     62209 ns/op	        15.55 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=4/path=private-core         	   57787	     62315 ns/op	        15.58 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=4/path=private-core         	   57775	     62307 ns/op	        15.58 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=4/path=private-core         	   57700	     62299 ns/op	        15.57 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=4/path=private-core         	   57790	     62299 ns/op	        15.57 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=4/path=private-core         	   57789	     62303 ns/op	        15.58 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=4/path=private-core         	   57762	     62329 ns/op	        15.58 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=4/path=private-core         	   57762	     62299 ns/op	        15.57 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=4/path=private-core         	   57789	     62291 ns/op	        15.57 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=4/path=private-core         	   57788	     62302 ns/op	        15.58 us/signature	       0 B/op	       0 allocs/op
