goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics 
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   53774	     16722 ns/op	  11.96 MB/s	         0 internal-fault-fallbacks	     59801 signatures/s	        16.72 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   53798	     16724 ns/op	  11.96 MB/s	         0 internal-fault-fallbacks	     59793 signatures/s	        16.72 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   53786	     16729 ns/op	  11.95 MB/s	         0 internal-fault-fallbacks	     59775 signatures/s	        16.73 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   53767	     16728 ns/op	  11.96 MB/s	         0 internal-fault-fallbacks	     59782 signatures/s	        16.73 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   53791	     16754 ns/op	  11.94 MB/s	         0 internal-fault-fallbacks	     59688 signatures/s	        16.75 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   53781	     16724 ns/op	  11.96 MB/s	         0 internal-fault-fallbacks	     59794 signatures/s	        16.72 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   26919	     33427 ns/op	  11.97 MB/s	         0 internal-fault-fallbacks	     59831 signatures/s	        16.71 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   26923	     33411 ns/op	  11.97 MB/s	         0 internal-fault-fallbacks	     59861 signatures/s	        16.71 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   26930	     33418 ns/op	  11.97 MB/s	         0 internal-fault-fallbacks	     59848 signatures/s	        16.71 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   26926	     33458 ns/op	  11.96 MB/s	         0 internal-fault-fallbacks	     59777 signatures/s	        16.73 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   26928	     33415 ns/op	  11.97 MB/s	         0 internal-fault-fallbacks	     59854 signatures/s	        16.71 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   26908	     33413 ns/op	  11.97 MB/s	         0 internal-fault-fallbacks	     59857 signatures/s	        16.71 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   24518	     36733 ns/op	  21.78 MB/s	         0 internal-fault-fallbacks	    108893 signatures/s	         9.183 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   24493	     36734 ns/op	  21.78 MB/s	         0 internal-fault-fallbacks	    108890 signatures/s	         9.184 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   24484	     36746 ns/op	  21.77 MB/s	         0 internal-fault-fallbacks	    108854 signatures/s	         9.187 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   24488	     36747 ns/op	  21.77 MB/s	         0 internal-fault-fallbacks	    108854 signatures/s	         9.187 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   24482	     36750 ns/op	  21.77 MB/s	         0 internal-fault-fallbacks	    108845 signatures/s	         9.187 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   24490	     36762 ns/op	  21.76 MB/s	         0 internal-fault-fallbacks	    108807 signatures/s	         9.191 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   14160	     63571 ns/op	  25.17 MB/s	         0 internal-fault-fallbacks	    125843 signatures/s	         7.946 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   14702	     61199 ns/op	  26.14 MB/s	         0 internal-fault-fallbacks	    130721 signatures/s	         7.650 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   14701	     61210 ns/op	  26.14 MB/s	         0 internal-fault-fallbacks	    130698 signatures/s	         7.651 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   14666	     61372 ns/op	  26.07 MB/s	         0 internal-fault-fallbacks	    130353 signatures/s	         7.671 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   14697	     61235 ns/op	  26.13 MB/s	         0 internal-fault-fallbacks	    130644 signatures/s	         7.654 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   14701	     61210 ns/op	  26.14 MB/s	         0 internal-fault-fallbacks	    130698 signatures/s	         7.651 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    1816	    494330 ns/op	  25.89 MB/s	         0 internal-fault-fallbacks	    129468 signatures/s	         7.724 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    1888	    475735 ns/op	  26.91 MB/s	         0 internal-fault-fallbacks	    134529 signatures/s	         7.433 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    1887	    475730 ns/op	  26.91 MB/s	         0 internal-fault-fallbacks	    134530 signatures/s	         7.433 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    1885	    476975 ns/op	  26.84 MB/s	         0 internal-fault-fallbacks	    134179 signatures/s	         7.453 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    1888	    475808 ns/op	  26.90 MB/s	         0 internal-fault-fallbacks	    134508 signatures/s	         7.434 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    1891	    475379 ns/op	  26.93 MB/s	         0 internal-fault-fallbacks	    134629 signatures/s	         7.428 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   51042	     17639 ns/op	  69.84 MB/s	         0 internal-fault-fallbacks	     56692 signatures/s	        17.64 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   51003	     17637 ns/op	  69.85 MB/s	         0 internal-fault-fallbacks	     56698 signatures/s	        17.64 us/signature	       0 B/op	       0 allocs/op
