goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics 
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   52495	     17144 ns/op	  11.67 MB/s	         0 internal-fault-fallbacks	     58329 signatures/s	   1243136 table-bytes	        17.14 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   52467	     17140 ns/op	  11.67 MB/s	         0 internal-fault-fallbacks	     58345 signatures/s	   1243136 table-bytes	        17.14 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   52480	     17140 ns/op	  11.67 MB/s	         0 internal-fault-fallbacks	     58344 signatures/s	   1243136 table-bytes	        17.14 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   52508	     17140 ns/op	  11.67 MB/s	         0 internal-fault-fallbacks	     58344 signatures/s	   1243136 table-bytes	        17.14 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   52496	     17138 ns/op	  11.67 MB/s	         0 internal-fault-fallbacks	     58349 signatures/s	   1243136 table-bytes	        17.14 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   52524	     17142 ns/op	  11.67 MB/s	         0 internal-fault-fallbacks	     58337 signatures/s	   1243136 table-bytes	        17.14 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   26374	     34165 ns/op	  11.71 MB/s	         0 internal-fault-fallbacks	     58539 signatures/s	   1243136 table-bytes	        17.08 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   26367	     34185 ns/op	  11.70 MB/s	         0 internal-fault-fallbacks	     58506 signatures/s	   1243136 table-bytes	        17.09 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   26376	     34113 ns/op	  11.73 MB/s	         0 internal-fault-fallbacks	     58628 signatures/s	   1243136 table-bytes	        17.06 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   26380	     34110 ns/op	  11.73 MB/s	         0 internal-fault-fallbacks	     58634 signatures/s	   1243136 table-bytes	        17.05 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   26380	     34110 ns/op	  11.73 MB/s	         0 internal-fault-fallbacks	     58634 signatures/s	   1243136 table-bytes	        17.06 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   26383	     34101 ns/op	  11.73 MB/s	         0 internal-fault-fallbacks	     58649 signatures/s	   1243136 table-bytes	        17.05 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   54615	     16485 ns/op	  48.53 MB/s	         0 internal-fault-fallbacks	    242638 signatures/s	   1243136 table-bytes	         4.121 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   54492	     16506 ns/op	  48.47 MB/s	         0 internal-fault-fallbacks	    242332 signatures/s	   1243136 table-bytes	         4.127 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   54579	     16485 ns/op	  48.53 MB/s	         0 internal-fault-fallbacks	    242638 signatures/s	   1243136 table-bytes	         4.121 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   54555	     16506 ns/op	  48.47 MB/s	         0 internal-fault-fallbacks	    242330 signatures/s	   1243136 table-bytes	         4.127 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   54556	     16493 ns/op	  48.51 MB/s	         0 internal-fault-fallbacks	    242527 signatures/s	   1243136 table-bytes	         4.123 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   54541	     16492 ns/op	  48.51 MB/s	         0 internal-fault-fallbacks	    242538 signatures/s	   1243136 table-bytes	         4.123 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   29155	     30880 ns/op	  51.81 MB/s	         0 internal-fault-fallbacks	    259068 signatures/s	   1243136 table-bytes	         3.860 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   29157	     30870 ns/op	  51.83 MB/s	         0 internal-fault-fallbacks	    259155 signatures/s	   1243136 table-bytes	         3.859 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   29127	     30911 ns/op	  51.76 MB/s	         0 internal-fault-fallbacks	    258809 signatures/s	   1243136 table-bytes	         3.864 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   29149	     30883 ns/op	  51.81 MB/s	         0 internal-fault-fallbacks	    259041 signatures/s	   1243136 table-bytes	         3.860 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   29145	     30874 ns/op	  51.82 MB/s	         0 internal-fault-fallbacks	    259118 signatures/s	   1243136 table-bytes	         3.859 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   29146	     30903 ns/op	  51.78 MB/s	         0 internal-fault-fallbacks	    258878 signatures/s	   1243136 table-bytes	         3.863 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    3793	    237094 ns/op	  53.99 MB/s	         0 internal-fault-fallbacks	    269935 signatures/s	   1243136 table-bytes	         3.705 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    3792	    237312 ns/op	  53.94 MB/s	         0 internal-fault-fallbacks	    269687 signatures/s	   1243136 table-bytes	         3.708 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    3787	    237091 ns/op	  53.99 MB/s	         0 internal-fault-fallbacks	    269938 signatures/s	   1243136 table-bytes	         3.705 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    3789	    237325 ns/op	  53.93 MB/s	         0 internal-fault-fallbacks	    269672 signatures/s	   1243136 table-bytes	         3.708 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    3794	    236350 ns/op	  54.16 MB/s	         0 internal-fault-fallbacks	    270785 signatures/s	   1243136 table-bytes	         3.693 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    3802	    236277 ns/op	  54.17 MB/s	         0 internal-fault-fallbacks	    270869 signatures/s	   1243136 table-bytes	         3.692 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   50041	     17992 ns/op	  68.47 MB/s	         0 internal-fault-fallbacks	     55579 signatures/s	   1243136 table-bytes	        17.99 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   50049	     17992 ns/op	  68.48 MB/s	         0 internal-fault-fallbacks	     55581 signatures/s	   1243136 table-bytes	        17.99 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   50010	     17994 ns/op	  68.47 MB/s	         0 internal-fault-fallbacks	     55573 signatures/s	   1243136 table-bytes	        17.99 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   50048	     17992 ns/op	  68.47 MB/s	         0 internal-fault-fallbacks	     55580 signatures/s	   1243136 table-bytes	        17.99 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   49992	     17991 ns/op	  68.48 MB/s	         0 internal-fault-fallbacks	     55582 signatures/s	   1243136 table-bytes	        17.99 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   50026	     17990 ns/op	  68.48 MB/s	         0 internal-fault-fallbacks	     55588 signatures/s	   1243136 table-bytes	        17.99 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   25130	     35814 ns/op	  68.80 MB/s	         0 internal-fault-fallbacks	     55844 signatures/s	   1243136 table-bytes	        17.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
