goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics 
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=200         	   14418	     62506 ns/op	         7.813 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=200         	   14407	     62458 ns/op	         7.807 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=200         	   14386	     62545 ns/op	         7.818 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=200         	   14431	     62365 ns/op	         7.796 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=200         	   14427	     62356 ns/op	         7.794 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=200         	   14311	     62751 ns/op	         7.844 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=200   	   14780	     60902 ns/op	         7.613 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=200   	   14848	     60596 ns/op	         7.574 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=200   	   14866	     60545 ns/op	         7.568 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=200   	   14844	     60610 ns/op	         7.576 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=200   	   14877	     60520 ns/op	         7.565 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=200   	   14887	     60444 ns/op	         7.556 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=200        	    1851	    485760 ns/op	         7.590 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=200        	    1850	    487045 ns/op	         7.610 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=200        	    1840	    487895 ns/op	         7.623 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=200        	    1843	    487985 ns/op	         7.625 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=200        	    1844	    487554 ns/op	         7.618 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=200        	    1844	    487618 ns/op	         7.619 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=64/msg=200  	    1898	    473008 ns/op	         7.391 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=64/msg=200  	    1902	    472910 ns/op	         7.389 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=64/msg=200  	    1906	    470688 ns/op	         7.355 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=64/msg=200  	    1911	    470599 ns/op	         7.353 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=64/msg=200  	    1900	    472865 ns/op	         7.389 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=64/msg=200  	    1909	    470920 ns/op	         7.358 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=1232        	   13948	     64520 ns/op	         8.065 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=1232        	   13936	     64591 ns/op	         8.074 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=1232        	   13929	     64613 ns/op	         8.077 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=1232        	   13933	     64620 ns/op	         8.077 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=1232        	   13928	     64589 ns/op	         8.074 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=1232        	   13932	     64583 ns/op	         8.073 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=1232  	   14352	     62692 ns/op	         7.836 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=1232  	   14359	     62676 ns/op	         7.835 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=1232  	   14353	     62721 ns/op	         7.840 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=1232  	   14344	     62724 ns/op	         7.840 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=1232  	   14332	     62779 ns/op	         7.847 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=1232  	   14361	     62676 ns/op	         7.835 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=1232       	    1785	    502807 ns/op	         7.856 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=1232       	    1786	    502698 ns/op	         7.855 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=1232       	    1789	    502679 ns/op	         7.854 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=1232       	    1788	    502777 ns/op	         7.856 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=1232       	    1785	    502688 ns/op	         7.854 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=1232       	    1788	    502729 ns/op	         7.855 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=64/msg=1232 	    1840	    490961 ns/op	         7.671 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=64/msg=1232 	    1843	    488245 ns/op	         7.629 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=64/msg=1232 	    1842	    487983 ns/op	         7.625 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=64/msg=1232 	    1845	    487775 ns/op	         7.621 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=64/msg=1232 	    1842	    488115 ns/op	         7.627 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=64/msg=1232 	    1842	    488312 ns/op	         7.630 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=4096        	   12621	     71302 ns/op	         8.913 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=4096        	   12607	     71381 ns/op	         8.923 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=4096        	   12632	     71258 ns/op	         8.907 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=4096        	   12638	     71220 ns/op	         8.902 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=4096        	   12604	     71388 ns/op	         8.924 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=8/msg=4096        	   12337	     72912 ns/op	         9.114 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=4096  	   12630	     71287 ns/op	         8.911 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=4096  	   12961	     69459 ns/op	         8.682 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=4096  	   12952	     69470 ns/op	         8.684 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=4096  	   12940	     69547 ns/op	         8.693 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=4096  	   12902	     69766 ns/op	         8.721 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=8/msg=4096  	   12955	     69466 ns/op	         8.683 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=4096       	    1610	    558048 ns/op	         8.720 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=4096       	    1575	    558794 ns/op	         8.731 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=4096       	    1610	    558559 ns/op	         8.727 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=4096       	    1611	    558326 ns/op	         8.724 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=4096       	    1611	    558516 ns/op	         8.727 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=general-square/n=64/msg=4096       	    1611	    558760 ns/op	         8.731 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=64/msg=4096 	    1653	    543567 ns/op	         8.493 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=64/msg=4096 	    1644	    543675 ns/op	         8.495 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMARawSquareCompletePipeline/path=dedicated-raw-square/n=64/msg=4096 	    1656	    543597 ns/op	         8.494 µs/sig	       0 B/op	       0 allocs/op
