goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics 
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   53949	     16672 ns/op	  12.00 MB/s	         0 internal-fault-fallbacks	     59982 signatures/s	        16.67 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   53959	     16685 ns/op	  11.99 MB/s	         0 internal-fault-fallbacks	     59933 signatures/s	        16.69 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   53956	     16681 ns/op	  11.99 MB/s	         0 internal-fault-fallbacks	     59948 signatures/s	        16.68 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   53962	     16681 ns/op	  11.99 MB/s	         0 internal-fault-fallbacks	     59950 signatures/s	        16.68 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   53961	     16679 ns/op	  11.99 MB/s	         0 internal-fault-fallbacks	     59954 signatures/s	        16.68 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   53956	     16682 ns/op	  11.99 MB/s	         0 internal-fault-fallbacks	     59946 signatures/s	        16.68 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   27063	     33239 ns/op	  12.03 MB/s	         0 internal-fault-fallbacks	     60171 signatures/s	        16.62 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   27054	     33245 ns/op	  12.03 MB/s	         0 internal-fault-fallbacks	     60160 signatures/s	        16.62 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   27070	     33242 ns/op	  12.03 MB/s	         0 internal-fault-fallbacks	     60164 signatures/s	        16.62 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   27067	     33259 ns/op	  12.03 MB/s	         0 internal-fault-fallbacks	     60135 signatures/s	        16.63 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   27066	     33234 ns/op	  12.04 MB/s	         0 internal-fault-fallbacks	     60179 signatures/s	        16.62 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   27080	     33232 ns/op	  12.04 MB/s	         0 internal-fault-fallbacks	     60183 signatures/s	        16.62 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   24571	     36630 ns/op	  21.84 MB/s	         0 internal-fault-fallbacks	    109201 signatures/s	         9.157 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   24564	     36645 ns/op	  21.83 MB/s	         0 internal-fault-fallbacks	    109155 signatures/s	         9.161 us/signature	       0 B/op	       0 allocs/op
