goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics 
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   52864	     17025 ns/op	  11.75 MB/s	         0 internal-fault-fallbacks	     58736 signatures/s	   1243136 table-bytes	        17.03 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   52851	     17025 ns/op	  11.75 MB/s	         0 internal-fault-fallbacks	     58739 signatures/s	   1243136 table-bytes	        17.02 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   52801	     17015 ns/op	  11.75 MB/s	         0 internal-fault-fallbacks	     58772 signatures/s	   1243136 table-bytes	        17.01 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   52884	     17014 ns/op	  11.76 MB/s	         0 internal-fault-fallbacks	     58776 signatures/s	   1243136 table-bytes	        17.01 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   52902	     17013 ns/op	  11.76 MB/s	         0 internal-fault-fallbacks	     58777 signatures/s	   1243136 table-bytes	        17.01 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   52896	     17006 ns/op	  11.76 MB/s	         0 internal-fault-fallbacks	     58804 signatures/s	   1243136 table-bytes	        17.01 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   26454	     34004 ns/op	  11.76 MB/s	         0 internal-fault-fallbacks	     58817 signatures/s	   1243136 table-bytes	        17.00 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   26464	     34005 ns/op	  11.76 MB/s	         0 internal-fault-fallbacks	     58814 signatures/s	   1243136 table-bytes	        17.00 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   26451	     33999 ns/op	  11.77 MB/s	         0 internal-fault-fallbacks	     58826 signatures/s	   1243136 table-bytes	        17.00 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   26469	     34011 ns/op	  11.76 MB/s	         0 internal-fault-fallbacks	     58804 signatures/s	   1243136 table-bytes	        17.01 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   26461	     34001 ns/op	  11.76 MB/s	         0 internal-fault-fallbacks	     58821 signatures/s	   1243136 table-bytes	        17.00 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   26466	     34001 ns/op	  11.76 MB/s	         0 internal-fault-fallbacks	     58822 signatures/s	   1243136 table-bytes	        17.00 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   52864	     17024 ns/op	  46.99 MB/s	         0 internal-fault-fallbacks	    234967 signatures/s	   1243136 table-bytes	         4.256 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   52858	     17023 ns/op	  46.99 MB/s	         0 internal-fault-fallbacks	    234971 signatures/s	   1243136 table-bytes	         4.256 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   52836	     17027 ns/op	  46.98 MB/s	         0 internal-fault-fallbacks	    234920 signatures/s	   1243136 table-bytes	         4.257 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   52832	     17031 ns/op	  46.97 MB/s	         0 internal-fault-fallbacks	    234864 signatures/s	   1243136 table-bytes	         4.258 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   52825	     17027 ns/op	  46.98 MB/s	         0 internal-fault-fallbacks	    234919 signatures/s	   1243136 table-bytes	         4.257 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   52832	     17031 ns/op	  46.97 MB/s	         0 internal-fault-fallbacks	    234863 signatures/s	   1243136 table-bytes	         4.258 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   28152	     31957 ns/op	  50.07 MB/s	         0 internal-fault-fallbacks	    250339 signatures/s	   1243136 table-bytes	         3.995 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   28154	     31962 ns/op	  50.06 MB/s	         0 internal-fault-fallbacks	    250298 signatures/s	   1243136 table-bytes	         3.995 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   28161	     31957 ns/op	  50.07 MB/s	         0 internal-fault-fallbacks	    250335 signatures/s	   1243136 table-bytes	         3.995 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   28156	     31953 ns/op	  50.07 MB/s	         0 internal-fault-fallbacks	    250369 signatures/s	   1243136 table-bytes	         3.994 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   28158	     31957 ns/op	  50.07 MB/s	         0 internal-fault-fallbacks	    250340 signatures/s	   1243136 table-bytes	         3.995 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   28160	     31959 ns/op	  50.06 MB/s	         0 internal-fault-fallbacks	    250321 signatures/s	   1243136 table-bytes	         3.995 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    3655	    245852 ns/op	  52.06 MB/s	         0 internal-fault-fallbacks	    260319 signatures/s	   1243136 table-bytes	         3.841 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    3650	    245912 ns/op	  52.05 MB/s	         0 internal-fault-fallbacks	    260255 signatures/s	   1243136 table-bytes	         3.842 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    3649	    245987 ns/op	  52.04 MB/s	         0 internal-fault-fallbacks	    260176 signatures/s	   1243136 table-bytes	         3.844 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    3656	    245823 ns/op	  52.07 MB/s	         0 internal-fault-fallbacks	    260350 signatures/s	   1243136 table-bytes	         3.841 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    3649	    245885 ns/op	  52.06 MB/s	         0 internal-fault-fallbacks	    260285 signatures/s	   1243136 table-bytes	         3.842 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    3655	    245985 ns/op	  52.04 MB/s	         0 internal-fault-fallbacks	    260179 signatures/s	   1243136 table-bytes	         3.844 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   50342	     17866 ns/op	  68.96 MB/s	         0 internal-fault-fallbacks	     55973 signatures/s	   1243136 table-bytes	        17.87 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   50335	     17874 ns/op	  68.93 MB/s	         0 internal-fault-fallbacks	     55948 signatures/s	   1243136 table-bytes	        17.87 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
