goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=1232         	   53760	     22325 ns/op	     44793 sig/s	        22.33 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=1232         	   53750	     22327 ns/op	     44788 sig/s	        22.33 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=1232         	   53742	     22329 ns/op	     44784 sig/s	        22.33 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=1232         	   53722	     22328 ns/op	     44786 sig/s	        22.33 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=1232         	   53739	     22328 ns/op	     44786 sig/s	        22.33 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=1232         	   53752	     22333 ns/op	     44777 sig/s	        22.33 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=1232             	   43704	     27453 ns/op	     36426 sig/s	        27.45 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=1232             	   43708	     27433 ns/op	     36453 sig/s	        27.43 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=1232             	   43716	     27427 ns/op	     36460 sig/s	        27.43 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=1232             	   43723	     27436 ns/op	     36448 sig/s	        27.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=1232             	   43744	     27430 ns/op	     36456 sig/s	        27.43 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=1232             	   43747	     27437 ns/op	     36447 sig/s	        27.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=1232     	   54968	     21809 ns/op	     45853 sig/s	        21.81 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=1232     	   55011	     21814 ns/op	     45842 sig/s	        21.81 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=1232     	   55032	     21813 ns/op	     45845 sig/s	        21.81 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=1232     	   55009	     21817 ns/op	     45836 sig/s	        21.82 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=1232     	   55002	     21814 ns/op	     45842 sig/s	        21.81 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=1232     	   55015	     21813 ns/op	     45844 sig/s	        21.81 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=1/msg=1232 	   63183	     18986 ns/op	     52670 sig/s	        18.99 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=1/msg=1232 	   63199	     18986 ns/op	     52672 sig/s	        18.99 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=1/msg=1232 	   63204	     18979 ns/op	     52690 sig/s	        18.98 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=1/msg=1232 	   63228	     18974 ns/op	     52703 sig/s	        18.97 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=1/msg=1232 	   63240	     18978 ns/op	     52694 sig/s	        18.98 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=1/msg=1232 	   63241	     18978 ns/op	     52693 sig/s	        18.98 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=2/msg=1232         	   26829	     44732 ns/op	     44711 sig/s	        22.37 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=2/msg=1232         	   26824	     44736 ns/op	     44707 sig/s	        22.37 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=2/msg=1232         	   26828	     44734 ns/op	     44709 sig/s	        22.37 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=2/msg=1232         	   26830	     44746 ns/op	     44697 sig/s	        22.37 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=2/msg=1232         	   26824	     44753 ns/op	     44690 sig/s	        22.38 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=2/msg=1232         	   26827	     44717 ns/op	     44726 sig/s	        22.36 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=2/msg=1232             	   21822	     54964 ns/op	     36388 sig/s	        27.48 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=2/msg=1232             	   21831	     54995 ns/op	     36367 sig/s	        27.50 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=2/msg=1232             	   21828	     54977 ns/op	     36379 sig/s	        27.49 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=2/msg=1232             	   21823	     54995 ns/op	     36367 sig/s	        27.50 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=2/msg=1232             	   21830	     54966 ns/op	     36386 sig/s	        27.48 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=2/msg=1232             	   21836	     54971 ns/op	     36383 sig/s	        27.49 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=1232     	   27483	     43663 ns/op	     45805 sig/s	        21.83 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=1232     	   27487	     43652 ns/op	     45817 sig/s	        21.83 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=1232     	   27489	     43657 ns/op	     45812 sig/s	        21.83 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=1232     	   27494	     43650 ns/op	     45819 sig/s	        21.82 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=1232     	   27484	     43659 ns/op	     45809 sig/s	        21.83 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=1232     	   27483	     43656 ns/op	     45812 sig/s	        21.83 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=2/msg=1232 	   31574	     38002 ns/op	     52629 sig/s	        19.00 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=2/msg=1232 	   31581	     38000 ns/op	     52631 sig/s	        19.00 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=2/msg=1232 	   31573	     37999 ns/op	     52633 sig/s	        19.00 µs/sig	       0 B/op	       0 allocs/op
