goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   44425	     43230 ns/op	   4.63 MB/s	     23132 signatures/s	        43.23 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   27763	     43173 ns/op	   4.63 MB/s	     23163 signatures/s	        43.17 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   27679	     43235 ns/op	   4.63 MB/s	     23129 signatures/s	        43.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   27766	     43246 ns/op	   4.62 MB/s	     23124 signatures/s	        43.25 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   27783	     43274 ns/op	   4.62 MB/s	     23108 signatures/s	        43.27 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   27849	     43170 ns/op	   4.63 MB/s	     23164 signatures/s	        43.17 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   27918	     43283 ns/op	   4.62 MB/s	     23104 signatures/s	        43.28 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   27794	     43291 ns/op	   4.62 MB/s	     23100 signatures/s	        43.29 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   27723	     43186 ns/op	   4.63 MB/s	     23156 signatures/s	        43.19 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   27760	     43201 ns/op	   4.63 MB/s	     23148 signatures/s	        43.20 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   13728	     86854 ns/op	   4.61 MB/s	     23027 signatures/s	        43.43 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   13806	     86909 ns/op	   4.60 MB/s	     23013 signatures/s	        43.45 us/signature	       0 B/op	       0 allocs/op
