goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   56239	     21337 ns/op	   9.37 MB/s	     46867 signatures/s	   1243136 table-bytes	        21.34 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   56250	     21327 ns/op	   9.38 MB/s	     46888 signatures/s	   1243136 table-bytes	        21.33 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   56274	     21327 ns/op	   9.38 MB/s	     46889 signatures/s	   1243136 table-bytes	        21.33 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   56262	     21331 ns/op	   9.38 MB/s	     46880 signatures/s	   1243136 table-bytes	        21.33 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   56288	     21324 ns/op	   9.38 MB/s	     46896 signatures/s	   1243136 table-bytes	        21.32 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   56264	     21327 ns/op	   9.38 MB/s	     46889 signatures/s	   1243136 table-bytes	        21.33 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   56252	     21327 ns/op	   9.38 MB/s	     46889 signatures/s	   1243136 table-bytes	        21.33 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   56264	     21326 ns/op	   9.38 MB/s	     46892 signatures/s	   1243136 table-bytes	        21.33 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   56263	     21332 ns/op	   9.38 MB/s	     46879 signatures/s	   1243136 table-bytes	        21.33 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   56262	     21328 ns/op	   9.38 MB/s	     46887 signatures/s	   1243136 table-bytes	        21.33 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   27907	     42991 ns/op	   9.30 MB/s	     46521 signatures/s	   1243136 table-bytes	        21.50 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   27909	     42984 ns/op	   9.31 MB/s	     46529 signatures/s	   1243136 table-bytes	        21.49 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   27907	     42988 ns/op	   9.30 MB/s	     46524 signatures/s	   1243136 table-bytes	        21.49 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   27900	     43002 ns/op	   9.30 MB/s	     46510 signatures/s	   1243136 table-bytes	        21.50 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   27902	     43002 ns/op	   9.30 MB/s	     46509 signatures/s	   1243136 table-bytes	        21.50 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   27902	     43004 ns/op	   9.30 MB/s	     46508 signatures/s	   1243136 table-bytes	        21.50 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   27898	     43006 ns/op	   9.30 MB/s	     46506 signatures/s	   1243136 table-bytes	        21.50 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
