goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   82934	     14467 ns/op	  13.82 MB/s	         0 internal-fault-fallbacks	     69123 signatures/s	        14.47 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   82932	     14462 ns/op	  13.83 MB/s	         0 internal-fault-fallbacks	     69145 signatures/s	        14.46 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   82929	     14479 ns/op	  13.81 MB/s	         0 internal-fault-fallbacks	     69068 signatures/s	        14.48 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   82996	     14464 ns/op	  13.83 MB/s	         0 internal-fault-fallbacks	     69135 signatures/s	        14.46 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   82953	     14468 ns/op	  13.82 MB/s	         0 internal-fault-fallbacks	     69119 signatures/s	        14.47 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   82941	     14467 ns/op	  13.82 MB/s	         0 internal-fault-fallbacks	     69123 signatures/s	        14.47 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   83018	     14463 ns/op	  13.83 MB/s	         0 internal-fault-fallbacks	     69142 signatures/s	        14.46 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   82916	     14467 ns/op	  13.82 MB/s	         0 internal-fault-fallbacks	     69124 signatures/s	        14.47 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   82988	     14468 ns/op	  13.82 MB/s	         0 internal-fault-fallbacks	     69120 signatures/s	        14.47 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   82945	     14464 ns/op	  13.83 MB/s	         0 internal-fault-fallbacks	     69135 signatures/s	        14.46 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   41323	     29028 ns/op	  13.78 MB/s	         0 internal-fault-fallbacks	     68899 signatures/s	        14.51 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   41326	     29046 ns/op	  13.77 MB/s	         0 internal-fault-fallbacks	     68857 signatures/s	        14.52 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   41310	     29055 ns/op	  13.77 MB/s	         0 internal-fault-fallbacks	     68834 signatures/s	        14.53 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   41313	     29034 ns/op	  13.78 MB/s	         0 internal-fault-fallbacks	     68886 signatures/s	        14.52 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   41324	     29040 ns/op	  13.77 MB/s	         0 internal-fault-fallbacks	     68870 signatures/s	        14.52 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   41320	     29037 ns/op	  13.78 MB/s	         0 internal-fault-fallbacks	     68878 signatures/s	        14.52 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   41336	     29027 ns/op	  13.78 MB/s	         0 internal-fault-fallbacks	     68901 signatures/s	        14.51 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   41331	     29030 ns/op	  13.78 MB/s	         0 internal-fault-fallbacks	     68894 signatures/s	        14.52 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   41325	     29049 ns/op	  13.77 MB/s	         0 internal-fault-fallbacks	     68850 signatures/s	        14.52 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   41317	     29043 ns/op	  13.77 MB/s	         0 internal-fault-fallbacks	     68862 signatures/s	        14.52 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   35149	     34121 ns/op	  23.45 MB/s	         0 internal-fault-fallbacks	    117230 signatures/s	         8.530 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   35161	     34126 ns/op	  23.44 MB/s	         0 internal-fault-fallbacks	    117214 signatures/s	         8.531 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   35169	     34123 ns/op	  23.44 MB/s	         0 internal-fault-fallbacks	    117223 signatures/s	         8.531 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   35155	     34123 ns/op	  23.44 MB/s	         0 internal-fault-fallbacks	    117224 signatures/s	         8.531 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   35155	     34125 ns/op	  23.44 MB/s	         0 internal-fault-fallbacks	    117216 signatures/s	         8.531 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   35169	     34121 ns/op	  23.45 MB/s	         0 internal-fault-fallbacks	    117231 signatures/s	         8.530 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   35157	     34116 ns/op	  23.45 MB/s	         0 internal-fault-fallbacks	    117245 signatures/s	         8.529 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   35170	     34120 ns/op	  23.45 MB/s	         0 internal-fault-fallbacks	    117234 signatures/s	         8.530 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   35161	     34122 ns/op	  23.45 MB/s	         0 internal-fault-fallbacks	    117227 signatures/s	         8.530 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   35154	     34116 ns/op	  23.45 MB/s	         0 internal-fault-fallbacks	    117247 signatures/s	         8.529 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   30825	     38953 ns/op	  41.08 MB/s	         0 internal-fault-fallbacks	    205376 signatures/s	         4.869 us/signature	       0 B/op	       0 allocs/op
