goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83227	     14413 ns/op	  13.88 MB/s	         0 internal-fault-fallbacks	     69384 signatures/s	   1243136 table-bytes	        14.41 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83259	     14414 ns/op	  13.88 MB/s	         0 internal-fault-fallbacks	     69378 signatures/s	   1243136 table-bytes	        14.41 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83278	     14413 ns/op	  13.88 MB/s	         0 internal-fault-fallbacks	     69381 signatures/s	   1243136 table-bytes	        14.41 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83233	     14418 ns/op	  13.87 MB/s	         0 internal-fault-fallbacks	     69359 signatures/s	   1243136 table-bytes	        14.42 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83265	     14411 ns/op	  13.88 MB/s	         0 internal-fault-fallbacks	     69394 signatures/s	   1243136 table-bytes	        14.41 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83240	     14411 ns/op	  13.88 MB/s	         0 internal-fault-fallbacks	     69390 signatures/s	   1243136 table-bytes	        14.41 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83193	     14411 ns/op	  13.88 MB/s	         0 internal-fault-fallbacks	     69390 signatures/s	   1243136 table-bytes	        14.41 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83222	     14410 ns/op	  13.88 MB/s	         0 internal-fault-fallbacks	     69398 signatures/s	   1243136 table-bytes	        14.41 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83293	     14408 ns/op	  13.88 MB/s	         0 internal-fault-fallbacks	     69404 signatures/s	   1243136 table-bytes	        14.41 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83269	     14411 ns/op	  13.88 MB/s	         0 internal-fault-fallbacks	     69393 signatures/s	   1243136 table-bytes	        14.41 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   41664	     28800 ns/op	  13.89 MB/s	         0 internal-fault-fallbacks	     69443 signatures/s	   1243136 table-bytes	        14.40 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
