goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=8/msg=200         	   76626	     31366 ns/op	         3.921 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=8/msg=200         	   76558	     31346 ns/op	         3.918 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=8/msg=200         	   76171	     31467 ns/op	         3.933 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=8/msg=200         	   76262	     31404 ns/op	         3.926 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=8/msg=200         	   76197	     31381 ns/op	         3.923 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=8/msg=200         	   76214	     31481 ns/op	         3.935 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=8/msg=200                     	   81799	     29328 ns/op	         3.666 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=8/msg=200                     	   81729	     29357 ns/op	         3.670 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=8/msg=200                     	   81735	     29361 ns/op	         3.670 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=8/msg=200                     	   81758	     29388 ns/op	         3.673 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=8/msg=200                     	   81625	     29364 ns/op	         3.670 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=8/msg=200                     	   81664	     29427 ns/op	         3.678 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=64/msg=200        	   10000	    236757 ns/op	         3.699 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=64/msg=200        	   10000	    236873 ns/op	         3.701 us/signature	       0 B/op	       0 allocs/op
