goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   89643	     13383 ns/op	  14.94 MB/s	         0 internal-fault-fallbacks	     74720 signatures/s	        13.38 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   89404	     13423 ns/op	  14.90 MB/s	         0 internal-fault-fallbacks	     74496 signatures/s	        13.42 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   89392	     13425 ns/op	  14.90 MB/s	         0 internal-fault-fallbacks	     74486 signatures/s	        13.43 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   89329	     13399 ns/op	  14.93 MB/s	         0 internal-fault-fallbacks	     74632 signatures/s	        13.40 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   44622	     26892 ns/op	  14.87 MB/s	         0 internal-fault-fallbacks	     74373 signatures/s	        13.45 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   44546	     26877 ns/op	  14.88 MB/s	         0 internal-fault-fallbacks	     74413 signatures/s	        13.44 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   44511	     26963 ns/op	  14.83 MB/s	         0 internal-fault-fallbacks	     74174 signatures/s	        13.48 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   44528	     26892 ns/op	  14.87 MB/s	         0 internal-fault-fallbacks	     74372 signatures/s	        13.45 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   39963	     30068 ns/op	  26.61 MB/s	         0 internal-fault-fallbacks	    133030 signatures/s	         7.517 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   39904	     30079 ns/op	  26.60 MB/s	         0 internal-fault-fallbacks	    132984 signatures/s	         7.520 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   39898	     30073 ns/op	  26.60 MB/s	         0 internal-fault-fallbacks	    133009 signatures/s	         7.518 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   39883	     30075 ns/op	  26.60 MB/s	         0 internal-fault-fallbacks	    133003 signatures/s	         7.519 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   40005	     30034 ns/op	  53.27 MB/s	         0 internal-fault-fallbacks	    266366 signatures/s	         3.754 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   39944	     30034 ns/op	  53.27 MB/s	         0 internal-fault-fallbacks	    266367 signatures/s	         3.754 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   39962	     30022 ns/op	  53.29 MB/s	         0 internal-fault-fallbacks	    266471 signatures/s	         3.753 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   39952	     30032 ns/op	  53.28 MB/s	         0 internal-fault-fallbacks	    266383 signatures/s	         3.754 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    5322	    225677 ns/op	  56.72 MB/s	         0 internal-fault-fallbacks	    283591 signatures/s	         3.526 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    5318	    225629 ns/op	  56.73 MB/s	         0 internal-fault-fallbacks	    283651 signatures/s	         3.525 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    5318	    225681 ns/op	  56.72 MB/s	         0 internal-fault-fallbacks	    283586 signatures/s	         3.526 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    5319	    225688 ns/op	  56.72 MB/s	         0 internal-fault-fallbacks	    283577 signatures/s	         3.526 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   83955	     14226 ns/op	  86.60 MB/s	         0 internal-fault-fallbacks	     70296 signatures/s	        14.23 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   84328	     14218 ns/op	  86.65 MB/s	         0 internal-fault-fallbacks	     70332 signatures/s	        14.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   84472	     14216 ns/op	  86.66 MB/s	         0 internal-fault-fallbacks	     70343 signatures/s	        14.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   84477	     14216 ns/op	  86.66 MB/s	         0 internal-fault-fallbacks	     70345 signatures/s	        14.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   42187	     28447 ns/op	  86.62 MB/s	         0 internal-fault-fallbacks	     70307 signatures/s	        14.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   42171	     28450 ns/op	  86.61 MB/s	         0 internal-fault-fallbacks	     70299 signatures/s	        14.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   42208	     28453 ns/op	  86.60 MB/s	         0 internal-fault-fallbacks	     70292 signatures/s	        14.23 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   42162	     28456 ns/op	  86.59 MB/s	         0 internal-fault-fallbacks	     70284 signatures/s	        14.23 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   37180	     32287 ns/op	 152.63 MB/s	         0 internal-fault-fallbacks	    123889 signatures/s	         8.072 us/signature	       0 B/op	       0 allocs/op
