goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=16/msg=200         	   20038	     59995 ns/op	         3.750 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=16/msg=200         	   20110	     59702 ns/op	         3.731 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=16/msg=200         	   20096	     59732 ns/op	         3.733 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=16/msg=200         	   20084	     59743 ns/op	         3.734 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=16/msg=200         	   20082	     59770 ns/op	         3.736 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=16/msg=200         	   20071	     59760 ns/op	         3.735 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=16/msg=200         	   20130	     59630 ns/op	         3.727 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=16/msg=200         	   20115	     59678 ns/op	         3.730 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=16/msg=200         	   20036	     59888 ns/op	         3.743 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=16/msg=200         	   20042	     59872 ns/op	         3.742 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=16/msg=200         	   20047	     59840 ns/op	         3.740 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=16/msg=200         	   20044	     59870 ns/op	         3.742 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=200         	    5116	    234365 ns/op	         3.662 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=200         	    5104	    235049 ns/op	         3.673 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=200         	    5104	    234978 ns/op	         3.672 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=200         	    5106	    235017 ns/op	         3.672 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=200         	    5104	    235026 ns/op	         3.672 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=200         	    5103	    235001 ns/op	         3.672 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=200         	    5125	    234121 ns/op	         3.658 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=200         	    5130	    233990 ns/op	         3.656 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=200         	    5119	    234100 ns/op	         3.658 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=200         	    5130	    233371 ns/op	         3.646 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=200         	    5130	    233867 ns/op	         3.654 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=200         	    5132	    233858 ns/op	         3.654 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=16/msg=1232        	   18765	     63941 ns/op	         3.996 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=16/msg=1232        	   18764	     63967 ns/op	         3.998 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=16/msg=1232        	   18699	     64182 ns/op	         4.011 µs/sig	       0 B/op	       0 allocs/op
