goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  159543	     15034 ns/op	  81.95 MB/s	         0 internal-fault-fallbacks	     66515 signatures/s	        15.03 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  159366	     15036 ns/op	  81.94 MB/s	         0 internal-fault-fallbacks	     66508 signatures/s	        15.04 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  159621	     15041 ns/op	  81.91 MB/s	         0 internal-fault-fallbacks	     66483 signatures/s	        15.04 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  159452	     15044 ns/op	  81.89 MB/s	         0 internal-fault-fallbacks	     66472 signatures/s	        15.04 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  159562	     15042 ns/op	  81.90 MB/s	         0 internal-fault-fallbacks	     66481 signatures/s	        15.04 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  159544	     15045 ns/op	  81.89 MB/s	         0 internal-fault-fallbacks	     66467 signatures/s	        15.05 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   79773	     30083 ns/op	  81.91 MB/s	         0 internal-fault-fallbacks	     66482 signatures/s	        15.04 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   79756	     30090 ns/op	  81.89 MB/s	         0 internal-fault-fallbacks	     66467 signatures/s	        15.05 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   79758	     30094 ns/op	  81.88 MB/s	         0 internal-fault-fallbacks	     66460 signatures/s	        15.05 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   79740	     30083 ns/op	  81.91 MB/s	         0 internal-fault-fallbacks	     66482 signatures/s	        15.04 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   79742	     30090 ns/op	  81.89 MB/s	         0 internal-fault-fallbacks	     66467 signatures/s	        15.05 us/signature	       0 B/op	       0 allocs/op
