# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cpu/cycles/P'
# Event count (approx.): 77840307134
#
# Overhead  Symbol                                                                                                                                               IPC   [IPC Coverage]
# ........  ...................................................................................................................................................  ....................
#
    27.53%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaPointFinalProductsUncheckedX8.abi0                                               -      -            
    16.56%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaFourRawProductsDoubleStage2UncheckedX8.abi0                                      -      -            
     8.38%  [.] nativeCompressX8RollingRounds                                                                                                                    -      -            
     5.75%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaDoubleStage2X8.abi0                                                              -      -            
     5.45%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaRepeatedSquareNormalizedX8.abi0                                                  -      -            
     5.02%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaFourRawProductsNielsStage2UncheckedX8.abi0                                       -      -            
     2.27%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.selectIFMAProjectiveNielsPreSignedMicroAoSX8                                         -      -            
     2.19%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaNielsStage2X8.abi0                                                               -      -            
     2.12%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaThreeRawProductsNielsStage2UncheckedX8.abi0                                      -      -            
     1.77%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.reduceUniformScalar                                                                  -      -            
     1.55%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.recodeCanonicalNegatedRadix32FullX8                                                  -      -            
     1.44%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.(*IFMAElementX8).Reduced                                                             -      -            
     1.22%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.(*ExperimentalIFMAProjectiveNielsPreSignedMicroAoSVariableBaseWorkspaceX8).Evaluate  -      -            
     1.14%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.recodeFixedBaseScalarsX8                                                             -      -            
