goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   83800	     14321 ns/op	  13.97 MB/s	         0 internal-fault-fallbacks	     69829 signatures/s	        14.32 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   83721	     14333 ns/op	  13.95 MB/s	         0 internal-fault-fallbacks	     69771 signatures/s	        14.33 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   83745	     14329 ns/op	  13.96 MB/s	         0 internal-fault-fallbacks	     69786 signatures/s	        14.33 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   83733	     14331 ns/op	  13.96 MB/s	         0 internal-fault-fallbacks	     69780 signatures/s	        14.33 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   83788	     14323 ns/op	  13.96 MB/s	         0 internal-fault-fallbacks	     69819 signatures/s	        14.32 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   83787	     14325 ns/op	  13.96 MB/s	         0 internal-fault-fallbacks	     69810 signatures/s	        14.32 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   83788	     14322 ns/op	  13.96 MB/s	         0 internal-fault-fallbacks	     69825 signatures/s	        14.32 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   83796	     14308 ns/op	  13.98 MB/s	         0 internal-fault-fallbacks	     69890 signatures/s	        14.31 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   83872	     14310 ns/op	  13.98 MB/s	         0 internal-fault-fallbacks	     69883 signatures/s	        14.31 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   83841	     14308 ns/op	  13.98 MB/s	         0 internal-fault-fallbacks	     69891 signatures/s	        14.31 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   42067	     28530 ns/op	  14.02 MB/s	         0 internal-fault-fallbacks	     70100 signatures/s	        14.27 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   42026	     28543 ns/op	  14.01 MB/s	         0 internal-fault-fallbacks	     70071 signatures/s	        14.27 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   42022	     28550 ns/op	  14.01 MB/s	         0 internal-fault-fallbacks	     70053 signatures/s	        14.27 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   42067	     28537 ns/op	  14.02 MB/s	         0 internal-fault-fallbacks	     70085 signatures/s	        14.27 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   42063	     28530 ns/op	  14.02 MB/s	         0 internal-fault-fallbacks	     70101 signatures/s	        14.27 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   42038	     28533 ns/op	  14.02 MB/s	         0 internal-fault-fallbacks	     70093 signatures/s	        14.27 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   42039	     28539 ns/op	  14.02 MB/s	         0 internal-fault-fallbacks	     70080 signatures/s	        14.27 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   42043	     28549 ns/op	  14.01 MB/s	         0 internal-fault-fallbacks	     70056 signatures/s	        14.27 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   42022	     28556 ns/op	  14.01 MB/s	         0 internal-fault-fallbacks	     70039 signatures/s	        14.28 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   42012	     28563 ns/op	  14.00 MB/s	         0 internal-fault-fallbacks	     70021 signatures/s	        14.28 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   36303	     33052 ns/op	  24.20 MB/s	         0 internal-fault-fallbacks	    121023 signatures/s	         8.263 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   36302	     33036 ns/op	  24.22 MB/s	         0 internal-fault-fallbacks	    121080 signatures/s	         8.259 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   36333	     33047 ns/op	  24.21 MB/s	         0 internal-fault-fallbacks	    121039 signatures/s	         8.262 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   36304	     33043 ns/op	  24.21 MB/s	         0 internal-fault-fallbacks	    121055 signatures/s	         8.261 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   36324	     33042 ns/op	  24.21 MB/s	         0 internal-fault-fallbacks	    121057 signatures/s	         8.261 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   36304	     33035 ns/op	  24.22 MB/s	         0 internal-fault-fallbacks	    121083 signatures/s	         8.259 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   36313	     33047 ns/op	  24.21 MB/s	         0 internal-fault-fallbacks	    121038 signatures/s	         8.262 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   36312	     33054 ns/op	  24.20 MB/s	         0 internal-fault-fallbacks	    121014 signatures/s	         8.264 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   36313	     33037 ns/op	  24.22 MB/s	         0 internal-fault-fallbacks	    121078 signatures/s	         8.259 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   36310	     33046 ns/op	  24.21 MB/s	         0 internal-fault-fallbacks	    121045 signatures/s	         8.261 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   31630	     37946 ns/op	  42.17 MB/s	         0 internal-fault-fallbacks	    210825 signatures/s	         4.743 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   31654	     37947 ns/op	  42.16 MB/s	         0 internal-fault-fallbacks	    210820 signatures/s	         4.743 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   31632	     37942 ns/op	  42.17 MB/s	         0 internal-fault-fallbacks	    210847 signatures/s	         4.743 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   31704	     37867 ns/op	  42.25 MB/s	         0 internal-fault-fallbacks	    211267 signatures/s	         4.733 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   31542	     38030 ns/op	  42.07 MB/s	         0 internal-fault-fallbacks	    210361 signatures/s	         4.754 us/signature	       0 B/op	       0 allocs/op
