goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83797	     14303 ns/op	  13.98 MB/s	         0 internal-fault-fallbacks	     69917 signatures/s	   1243136 table-bytes	        14.30 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83924	     14297 ns/op	  13.99 MB/s	         0 internal-fault-fallbacks	     69943 signatures/s	   1243136 table-bytes	        14.30 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83948	     14296 ns/op	  13.99 MB/s	         0 internal-fault-fallbacks	     69950 signatures/s	   1243136 table-bytes	        14.30 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83940	     14295 ns/op	  13.99 MB/s	         0 internal-fault-fallbacks	     69955 signatures/s	   1243136 table-bytes	        14.29 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83922	     14295 ns/op	  13.99 MB/s	         0 internal-fault-fallbacks	     69953 signatures/s	   1243136 table-bytes	        14.30 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83937	     14295 ns/op	  13.99 MB/s	         0 internal-fault-fallbacks	     69954 signatures/s	   1243136 table-bytes	        14.30 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83941	     14294 ns/op	  13.99 MB/s	         0 internal-fault-fallbacks	     69959 signatures/s	   1243136 table-bytes	        14.29 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83950	     14294 ns/op	  13.99 MB/s	         0 internal-fault-fallbacks	     69960 signatures/s	   1243136 table-bytes	        14.29 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83937	     14296 ns/op	  13.99 MB/s	         0 internal-fault-fallbacks	     69951 signatures/s	   1243136 table-bytes	        14.30 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	   83992	     14285 ns/op	  14.00 MB/s	         0 internal-fault-fallbacks	     70002 signatures/s	   1243136 table-bytes	        14.29 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   42154	     28451 ns/op	  14.06 MB/s	         0 internal-fault-fallbacks	     70296 signatures/s	   1243136 table-bytes	        14.23 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   42188	     28443 ns/op	  14.06 MB/s	         0 internal-fault-fallbacks	     70316 signatures/s	   1243136 table-bytes	        14.22 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   42213	     28435 ns/op	  14.07 MB/s	         0 internal-fault-fallbacks	     70336 signatures/s	   1243136 table-bytes	        14.22 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   42162	     28454 ns/op	  14.06 MB/s	         0 internal-fault-fallbacks	     70288 signatures/s	   1243136 table-bytes	        14.23 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	   42157	     28458 ns/op	  14.06 MB/s	         0 internal-fault-fallbacks	     70278 signatures/s	   1243136 table-bytes	        14.23 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
