goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/internal/heea8l
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkSelectShiftSubtract/ordinary-W128         	  501796	      7122 ns/op	       128.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W128         	  504770	      7120 ns/op	       128.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W128         	  505275	      7122 ns/op	       128.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W128         	  505303	      7122 ns/op	       128.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W128         	  504938	      7124 ns/op	       128.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W128         	  505702	      7123 ns/op	       128.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W128         	  505543	      7120 ns/op	       128.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W128         	  505914	      7120 ns/op	       128.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W128         	  505394	      7120 ns/op	       128.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W128         	  506152	      7119 ns/op	       128.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W132         	  523856	      6868 ns/op	       132.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W132         	  524288	      6867 ns/op	       132.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W132         	  523998	      6866 ns/op	       132.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W132         	  524121	      6870 ns/op	       132.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W132         	  523986	      6867 ns/op	       132.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W132         	  523719	      6868 ns/op	       132.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W132         	  523500	      6869 ns/op	       132.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W132         	  523936	      6870 ns/op	       132.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W132         	  523876	      6868 ns/op	       132.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/ordinary-W132         	  523744	      6868 ns/op	       132.0 candidate_bits	       0 B/op	       0 allocs/op
