goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   88540	     13550 ns/op	  14.76 MB/s	         0 internal-fault-fallbacks	     73800 signatures/s	        13.55 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   88363	     13588 ns/op	  14.72 MB/s	         0 internal-fault-fallbacks	     73595 signatures/s	        13.59 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   88262	     13600 ns/op	  14.71 MB/s	         0 internal-fault-fallbacks	     73531 signatures/s	        13.60 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   44412	     26996 ns/op	  14.82 MB/s	         0 internal-fault-fallbacks	     74084 signatures/s	        13.50 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   44407	     27057 ns/op	  14.78 MB/s	         0 internal-fault-fallbacks	     73919 signatures/s	        13.53 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   44323	     27065 ns/op	  14.78 MB/s	         0 internal-fault-fallbacks	     73897 signatures/s	        13.53 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   39889	     30149 ns/op	  26.53 MB/s	         0 internal-fault-fallbacks	    132672 signatures/s	         7.537 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   39650	     30274 ns/op	  26.42 MB/s	         0 internal-fault-fallbacks	    132125 signatures/s	         7.569 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   39638	     30231 ns/op	  26.46 MB/s	         0 internal-fault-fallbacks	    132314 signatures/s	         7.558 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   40984	     29284 ns/op	  54.64 MB/s	         0 internal-fault-fallbacks	    273186 signatures/s	         3.661 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   40957	     29298 ns/op	  54.61 MB/s	         0 internal-fault-fallbacks	    273059 signatures/s	         3.662 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   40975	     29297 ns/op	  54.61 MB/s	         0 internal-fault-fallbacks	    273066 signatures/s	         3.662 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    5454	    219966 ns/op	  58.19 MB/s	         0 internal-fault-fallbacks	    290954 signatures/s	         3.437 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    5454	    220060 ns/op	  58.17 MB/s	         0 internal-fault-fallbacks	    290830 signatures/s	         3.438 us/signature	       0 B/op	       0 allocs/op
