goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	   80311	     14950 ns/op	  82.41 MB/s	         0 internal-fault-fallbacks	     66889 signatures/s	        14.95 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	   80194	     14961 ns/op	  82.35 MB/s	         0 internal-fault-fallbacks	     66842 signatures/s	        14.96 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	   80176	     14978 ns/op	  82.25 MB/s	         0 internal-fault-fallbacks	     66764 signatures/s	        14.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	   80041	     14996 ns/op	  82.15 MB/s	         0 internal-fault-fallbacks	     66683 signatures/s	        15.00 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   40108	     29901 ns/op	  82.41 MB/s	         0 internal-fault-fallbacks	     66888 signatures/s	        14.95 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   40128	     29927 ns/op	  82.33 MB/s	         0 internal-fault-fallbacks	     66829 signatures/s	        14.96 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   40080	     29931 ns/op	  82.32 MB/s	         0 internal-fault-fallbacks	     66820 signatures/s	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   40100	     29927 ns/op	  82.33 MB/s	         0 internal-fault-fallbacks	     66829 signatures/s	        14.96 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4         	   37411	     32062 ns/op	 153.70 MB/s	         0 internal-fault-fallbacks	    124759 signatures/s	         8.015 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4         	   37408	     32074 ns/op	 153.65 MB/s	         0 internal-fault-fallbacks	    124713 signatures/s	         8.018 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4         	   37405	     32102 ns/op	 153.51 MB/s	         0 internal-fault-fallbacks	    124601 signatures/s	         8.026 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4         	   37242	     32223 ns/op	 152.93 MB/s	         0 internal-fault-fallbacks	    124133 signatures/s	         8.056 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8         	   36001	     33325 ns/op	 295.75 MB/s	         0 internal-fault-fallbacks	    240057 signatures/s	         4.166 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8         	   36052	     33291 ns/op	 296.05 MB/s	         0 internal-fault-fallbacks	    240304 signatures/s	         4.161 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8         	   36007	     33326 ns/op	 295.74 MB/s	         0 internal-fault-fallbacks	    240052 signatures/s	         4.166 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8         	   36020	     33308 ns/op	 295.91 MB/s	         0 internal-fault-fallbacks	    240186 signatures/s	         4.163 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64        	    4746	    252868 ns/op	 311.81 MB/s	         0 internal-fault-fallbacks	    253096 signatures/s	         3.951 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64        	    4747	    252739 ns/op	 311.97 MB/s	         0 internal-fault-fallbacks	    253226 signatures/s	         3.949 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64        	    4748	    252674 ns/op	 312.05 MB/s	         0 internal-fault-fallbacks	    253290 signatures/s	         3.948 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64        	    4748	    252709 ns/op	 312.01 MB/s	         0 internal-fault-fallbacks	    253255 signatures/s	         3.949 us/signature	       0 B/op	       0 allocs/op
PASS
