goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  173349	     13876 ns/op	  14.41 MB/s	         0 internal-fault-fallbacks	     72065 signatures/s	        13.88 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  172840	     13877 ns/op	  14.41 MB/s	         0 internal-fault-fallbacks	     72061 signatures/s	        13.88 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  172890	     13889 ns/op	  14.40 MB/s	         0 internal-fault-fallbacks	     71998 signatures/s	        13.89 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  172682	     13891 ns/op	  14.40 MB/s	         0 internal-fault-fallbacks	     71991 signatures/s	        13.89 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  172651	     13897 ns/op	  14.39 MB/s	         0 internal-fault-fallbacks	     71957 signatures/s	        13.90 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  172761	     13901 ns/op	  14.39 MB/s	         0 internal-fault-fallbacks	     71937 signatures/s	        13.90 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  172526	     13900 ns/op	  14.39 MB/s	         0 internal-fault-fallbacks	     71941 signatures/s	        13.90 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  172485	     13905 ns/op	  14.38 MB/s	         0 internal-fault-fallbacks	     71918 signatures/s	        13.90 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  172738	     13906 ns/op	  14.38 MB/s	         0 internal-fault-fallbacks	     71913 signatures/s	        13.91 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  172644	     13903 ns/op	  14.39 MB/s	         0 internal-fault-fallbacks	     71926 signatures/s	        13.90 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   85882	     27938 ns/op	  14.32 MB/s	         0 internal-fault-fallbacks	     71587 signatures/s	        13.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   85947	     27928 ns/op	  14.32 MB/s	         0 internal-fault-fallbacks	     71613 signatures/s	        13.96 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   85917	     27932 ns/op	  14.32 MB/s	         0 internal-fault-fallbacks	     71603 signatures/s	        13.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   85963	     27937 ns/op	  14.32 MB/s	         0 internal-fault-fallbacks	     71590 signatures/s	        13.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   85854	     27949 ns/op	  14.31 MB/s	         0 internal-fault-fallbacks	     71560 signatures/s	        13.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   85915	     27942 ns/op	  14.32 MB/s	         0 internal-fault-fallbacks	     71578 signatures/s	        13.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   85827	     27947 ns/op	  14.31 MB/s	         0 internal-fault-fallbacks	     71563 signatures/s	        13.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   85886	     27938 ns/op	  14.32 MB/s	         0 internal-fault-fallbacks	     71586 signatures/s	        13.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   85880	     27952 ns/op	  14.31 MB/s	         0 internal-fault-fallbacks	     71552 signatures/s	        13.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   85938	     27948 ns/op	  14.31 MB/s	         0 internal-fault-fallbacks	     71562 signatures/s	        13.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   80090	     29974 ns/op	  26.69 MB/s	         0 internal-fault-fallbacks	    133451 signatures/s	         7.493 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   80096	     29973 ns/op	  26.69 MB/s	         0 internal-fault-fallbacks	    133453 signatures/s	         7.493 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   80073	     29989 ns/op	  26.68 MB/s	         0 internal-fault-fallbacks	    133384 signatures/s	         7.497 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   80016	     29986 ns/op	  26.68 MB/s	         0 internal-fault-fallbacks	    133395 signatures/s	         7.497 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   80036	     29989 ns/op	  26.68 MB/s	         0 internal-fault-fallbacks	    133382 signatures/s	         7.497 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   80001	     29989 ns/op	  26.68 MB/s	         0 internal-fault-fallbacks	    133382 signatures/s	         7.497 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   80023	     29986 ns/op	  26.68 MB/s	         0 internal-fault-fallbacks	    133396 signatures/s	         7.497 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   80036	     29991 ns/op	  26.67 MB/s	         0 internal-fault-fallbacks	    133374 signatures/s	         7.498 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   80022	     29992 ns/op	  26.67 MB/s	         0 internal-fault-fallbacks	    133367 signatures/s	         7.498 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   80014	     29994 ns/op	  26.67 MB/s	         0 internal-fault-fallbacks	    133359 signatures/s	         7.499 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76300	     31451 ns/op	  50.87 MB/s	         0 internal-fault-fallbacks	    254363 signatures/s	         3.931 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76263	     31474 ns/op	  50.84 MB/s	         0 internal-fault-fallbacks	    254179 signatures/s	         3.934 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76276	     31464 ns/op	  50.85 MB/s	         0 internal-fault-fallbacks	    254262 signatures/s	         3.933 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76368	     31421 ns/op	  50.92 MB/s	         0 internal-fault-fallbacks	    254603 signatures/s	         3.928 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76383	     31407 ns/op	  50.94 MB/s	         0 internal-fault-fallbacks	    254719 signatures/s	         3.926 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76389	     31417 ns/op	  50.93 MB/s	         0 internal-fault-fallbacks	    254641 signatures/s	         3.927 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76381	     31410 ns/op	  50.94 MB/s	         0 internal-fault-fallbacks	    254694 signatures/s	         3.926 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76340	     31447 ns/op	  50.88 MB/s	         0 internal-fault-fallbacks	    254393 signatures/s	         3.931 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76322	     31440 ns/op	  50.89 MB/s	         0 internal-fault-fallbacks	    254455 signatures/s	         3.930 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76329	     31431 ns/op	  50.90 MB/s	         0 internal-fault-fallbacks	    254522 signatures/s	         3.929 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    237604 ns/op	  53.87 MB/s	         0 internal-fault-fallbacks	    269356 signatures/s	         3.713 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    237619 ns/op	  53.87 MB/s	         0 internal-fault-fallbacks	    269339 signatures/s	         3.713 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    237700 ns/op	  53.85 MB/s	         0 internal-fault-fallbacks	    269247 signatures/s	         3.714 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    237703 ns/op	  53.85 MB/s	         0 internal-fault-fallbacks	    269244 signatures/s	         3.714 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    237636 ns/op	  53.86 MB/s	         0 internal-fault-fallbacks	    269320 signatures/s	         3.713 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    237596 ns/op	  53.87 MB/s	         0 internal-fault-fallbacks	    269365 signatures/s	         3.712 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    237653 ns/op	  53.86 MB/s	         0 internal-fault-fallbacks	    269300 signatures/s	         3.713 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    237621 ns/op	  53.87 MB/s	         0 internal-fault-fallbacks	    269336 signatures/s	         3.713 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    237625 ns/op	  53.87 MB/s	         0 internal-fault-fallbacks	    269332 signatures/s	         3.713 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    237676 ns/op	  53.85 MB/s	         0 internal-fault-fallbacks	    269274 signatures/s	         3.714 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  163725	     14590 ns/op	  84.44 MB/s	         0 internal-fault-fallbacks	     68540 signatures/s	        14.59 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  164701	     14582 ns/op	  84.49 MB/s	         0 internal-fault-fallbacks	     68577 signatures/s	        14.58 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  164532	     14580 ns/op	  84.50 MB/s	         0 internal-fault-fallbacks	     68589 signatures/s	        14.58 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  164641	     14581 ns/op	  84.49 MB/s	         0 internal-fault-fallbacks	     68582 signatures/s	        14.58 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  164526	     14577 ns/op	  84.52 MB/s	         0 internal-fault-fallbacks	     68601 signatures/s	        14.58 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  164612	     14577 ns/op	  84.52 MB/s	         0 internal-fault-fallbacks	     68603 signatures/s	        14.58 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  164688	     14574 ns/op	  84.53 MB/s	         0 internal-fault-fallbacks	     68615 signatures/s	        14.57 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  164659	     14580 ns/op	  84.50 MB/s	         0 internal-fault-fallbacks	     68586 signatures/s	        14.58 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  164596	     14575 ns/op	  84.53 MB/s	         0 internal-fault-fallbacks	     68610 signatures/s	        14.58 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  164613	     14574 ns/op	  84.53 MB/s	         0 internal-fault-fallbacks	     68615 signatures/s	        14.57 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   81567	     29413 ns/op	  83.77 MB/s	         0 internal-fault-fallbacks	     67997 signatures/s	        14.71 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   81573	     29417 ns/op	  83.76 MB/s	         0 internal-fault-fallbacks	     67989 signatures/s	        14.71 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   81630	     29410 ns/op	  83.78 MB/s	         0 internal-fault-fallbacks	     68005 signatures/s	        14.70 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   81614	     29420 ns/op	  83.75 MB/s	         0 internal-fault-fallbacks	     67981 signatures/s	        14.71 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   81627	     29418 ns/op	  83.76 MB/s	         0 internal-fault-fallbacks	     67985 signatures/s	        14.71 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   81608	     29411 ns/op	  83.78 MB/s	         0 internal-fault-fallbacks	     68002 signatures/s	        14.71 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   81574	     29411 ns/op	  83.78 MB/s	         0 internal-fault-fallbacks	     68002 signatures/s	        14.71 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   81541	     29430 ns/op	  83.72 MB/s	         0 internal-fault-fallbacks	     67958 signatures/s	        14.71 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   81519	     29430 ns/op	  83.72 MB/s	         0 internal-fault-fallbacks	     67958 signatures/s	        14.71 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   81520	     29420 ns/op	  83.75 MB/s	         0 internal-fault-fallbacks	     67982 signatures/s	        14.71 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   74887	     32068 ns/op	 153.67 MB/s	         0 internal-fault-fallbacks	    124733 signatures/s	         8.017 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   74798	     32077 ns/op	 153.63 MB/s	         0 internal-fault-fallbacks	    124701 signatures/s	         8.019 us/signature	       0 B/op	       0 allocs/op
