goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   86007	     13970 ns/op	  14.32 MB/s	         0 internal-fault-fallbacks	     71584 signatures/s	        13.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   85869	     13978 ns/op	  14.31 MB/s	         0 internal-fault-fallbacks	     71540 signatures/s	        13.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   85837	     13980 ns/op	  14.31 MB/s	         0 internal-fault-fallbacks	     71531 signatures/s	        13.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   85850	     13984 ns/op	  14.30 MB/s	         0 internal-fault-fallbacks	     71512 signatures/s	        13.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   85774	     13988 ns/op	  14.30 MB/s	         0 internal-fault-fallbacks	     71490 signatures/s	        13.99 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   85790	     13989 ns/op	  14.30 MB/s	         0 internal-fault-fallbacks	     71486 signatures/s	        13.99 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   80839	     14847 ns/op	  82.98 MB/s	         0 internal-fault-fallbacks	     67351 signatures/s	        14.85 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   80800	     14853 ns/op	  82.95 MB/s	         0 internal-fault-fallbacks	     67326 signatures/s	        14.85 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   80749	     14854 ns/op	  82.94 MB/s	         0 internal-fault-fallbacks	     67323 signatures/s	        14.85 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   80773	     14854 ns/op	  82.94 MB/s	         0 internal-fault-fallbacks	     67320 signatures/s	        14.85 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   80749	     14859 ns/op	  82.91 MB/s	         0 internal-fault-fallbacks	     67299 signatures/s	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   80760	     14857 ns/op	  82.93 MB/s	         0 internal-fault-fallbacks	     67311 signatures/s	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   70964	     16795 ns/op	 243.89 MB/s	         0 internal-fault-fallbacks	     59543 signatures/s	        16.79 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   70959	     16794 ns/op	 243.90 MB/s	         0 internal-fault-fallbacks	     59546 signatures/s	        16.79 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   71475	     16790 ns/op	 243.95 MB/s	         0 internal-fault-fallbacks	     59559 signatures/s	        16.79 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   71460	     16795 ns/op	 243.87 MB/s	         0 internal-fault-fallbacks	     59540 signatures/s	        16.80 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   71462	     16793 ns/op	 243.91 MB/s	         0 internal-fault-fallbacks	     59549 signatures/s	        16.79 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   71445	     16792 ns/op	 243.92 MB/s	         0 internal-fault-fallbacks	     59550 signatures/s	        16.79 us/signature	       0 B/op	       0 allocs/op
PASS
