ok  	github.com/Overclock-Validator/narya-ed25519/cmd/sigverifytracebench	0.005s
ok  	github.com/Overclock-Validator/narya-ed25519/ed25519	41.209s
ok  	github.com/Overclock-Validator/narya-ed25519/internal/cpufeat	0.001s
ok  	github.com/Overclock-Validator/narya-ed25519/internal/edwards25519	0.049s
ok  	github.com/Overclock-Validator/narya-ed25519/internal/edwards25519/field	0.898s
ok  	github.com/Overclock-Validator/narya-ed25519/internal/heea8l	34.708s
?   	github.com/Overclock-Validator/narya-ed25519/internal/heea8l/cmd/sample	[no test files]
ok  	github.com/Overclock-Validator/narya-ed25519/internal/mithriltracev3	0.001s
ok  	github.com/Overclock-Validator/narya-ed25519/internal/r43x6	1.659s
ok  	github.com/Overclock-Validator/narya-ed25519/internal/r51x5	13.932s
ok  	github.com/Overclock-Validator/narya-ed25519/internal/sigprep	1.009s
ok  	github.com/Overclock-Validator/narya-ed25519/internal/tracebench	0.044s
ok  	github.com/Overclock-Validator/narya-ed25519/scripts/unaffectedbench	0.001s [no tests to run]
ok  	github.com/Overclock-Validator/narya-ed25519/sha512mb	0.087s
