goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  181029	     13296 ns/op	  15.04 MB/s	         0 internal-fault-fallbacks	     75208 signatures/s	        13.30 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  180430	     13311 ns/op	  15.03 MB/s	         0 internal-fault-fallbacks	     75128 signatures/s	        13.31 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  180199	     13316 ns/op	  15.02 MB/s	         0 internal-fault-fallbacks	     75095 signatures/s	        13.32 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  180214	     13330 ns/op	  15.00 MB/s	         0 internal-fault-fallbacks	     75021 signatures/s	        13.33 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  180008	     13328 ns/op	  15.01 MB/s	         0 internal-fault-fallbacks	     75027 signatures/s	        13.33 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  180104	     13335 ns/op	  15.00 MB/s	         0 internal-fault-fallbacks	     74992 signatures/s	        13.33 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  179989	     13332 ns/op	  15.00 MB/s	         0 internal-fault-fallbacks	     75005 signatures/s	        13.33 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  179972	     13333 ns/op	  15.00 MB/s	         0 internal-fault-fallbacks	     75001 signatures/s	        13.33 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  180028	     13336 ns/op	  15.00 MB/s	         0 internal-fault-fallbacks	     74987 signatures/s	        13.34 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  179985	     13333 ns/op	  15.00 MB/s	         0 internal-fault-fallbacks	     75000 signatures/s	        13.33 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   89827	     26729 ns/op	  14.96 MB/s	         0 internal-fault-fallbacks	     74825 signatures/s	        13.36 us/signature	       0 B/op	       0 allocs/op
