goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  183958	     13043 ns/op	  15.33 MB/s	         0 internal-fault-fallbacks	     76667 signatures/s	        13.04 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  183783	     13033 ns/op	  15.35 MB/s	         0 internal-fault-fallbacks	     76728 signatures/s	        13.03 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  184125	     13036 ns/op	  15.34 MB/s	         0 internal-fault-fallbacks	     76710 signatures/s	        13.04 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	  107860	     22214 ns/op	  18.01 MB/s	         0 internal-fault-fallbacks	     90035 signatures/s	        11.11 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	  107978	     22216 ns/op	  18.00 MB/s	         0 internal-fault-fallbacks	     90024 signatures/s	        11.11 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	  107923	     22217 ns/op	  18.00 MB/s	         0 internal-fault-fallbacks	     90020 signatures/s	        11.11 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   80955	     29635 ns/op	  26.99 MB/s	         0 internal-fault-fallbacks	    134973 signatures/s	         7.409 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   81003	     29631 ns/op	  27.00 MB/s	         0 internal-fault-fallbacks	    134993 signatures/s	         7.408 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   80980	     29625 ns/op	  27.00 MB/s	         0 internal-fault-fallbacks	    135023 signatures/s	         7.406 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   83470	     28706 ns/op	  55.74 MB/s	         0 internal-fault-fallbacks	    278683 signatures/s	         3.588 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   83662	     28679 ns/op	  55.79 MB/s	         0 internal-fault-fallbacks	    278954 signatures/s	         3.585 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   83666	     28679 ns/op	  55.79 MB/s	         0 internal-fault-fallbacks	    278952 signatures/s	         3.585 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    215885 ns/op	  59.29 MB/s	         0 internal-fault-fallbacks	    296455 signatures/s	         3.373 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    215900 ns/op	  59.29 MB/s	         0 internal-fault-fallbacks	    296433 signatures/s	         3.373 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    215890 ns/op	  59.29 MB/s	         0 internal-fault-fallbacks	    296448 signatures/s	         3.373 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  176514	     13586 ns/op	  90.68 MB/s	         0 internal-fault-fallbacks	     73604 signatures/s	        13.59 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  176456	     13599 ns/op	  90.59 MB/s	         0 internal-fault-fallbacks	     73533 signatures/s	        13.60 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  176569	     13593 ns/op	  90.63 MB/s	         0 internal-fault-fallbacks	     73565 signatures/s	        13.59 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	  103102	     23243 ns/op	 106.01 MB/s	         0 internal-fault-fallbacks	     86047 signatures/s	        11.62 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	  103242	     23249 ns/op	 105.98 MB/s	         0 internal-fault-fallbacks	     86026 signatures/s	        11.62 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	  103212	     23241 ns/op	 106.02 MB/s	         0 internal-fault-fallbacks	     86054 signatures/s	        11.62 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   76173	     31495 ns/op	 156.47 MB/s	         0 internal-fault-fallbacks	    127004 signatures/s	         7.874 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   76266	     31486 ns/op	 156.51 MB/s	         0 internal-fault-fallbacks	    127039 signatures/s	         7.872 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   76212	     31488 ns/op	 156.50 MB/s	         0 internal-fault-fallbacks	    127033 signatures/s	         7.872 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   77956	     30840 ns/op	 319.58 MB/s	         0 internal-fault-fallbacks	    259402 signatures/s	         3.855 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   77876	     30800 ns/op	 320.00 MB/s	         0 internal-fault-fallbacks	    259741 signatures/s	         3.850 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   77875	     30803 ns/op	 319.97 MB/s	         0 internal-fault-fallbacks	    259717 signatures/s	         3.850 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	   10000	    231846 ns/op	 340.09 MB/s	         0 internal-fault-fallbacks	    276045 signatures/s	         3.623 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	   10000	    231772 ns/op	 340.20 MB/s	         0 internal-fault-fallbacks	    276134 signatures/s	         3.621 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	   10000	    232079 ns/op	 339.75 MB/s	         0 internal-fault-fallbacks	    275768 signatures/s	         3.626 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	  152042	     15784 ns/op	 259.50 MB/s	         0 internal-fault-fallbacks	     63355 signatures/s	        15.78 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	  152029	     15781 ns/op	 259.55 MB/s	         0 internal-fault-fallbacks	     63367 signatures/s	        15.78 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	  152059	     15787 ns/op	 259.45 MB/s	         0 internal-fault-fallbacks	     63341 signatures/s	        15.79 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   87330	     27465 ns/op	 298.27 MB/s	         0 internal-fault-fallbacks	     72819 signatures/s	        13.73 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   87295	     27484 ns/op	 298.07 MB/s	         0 internal-fault-fallbacks	     72771 signatures/s	        13.74 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   87326	     27461 ns/op	 298.31 MB/s	         0 internal-fault-fallbacks	     72829 signatures/s	        13.73 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   65089	     36886 ns/op	 444.18 MB/s	         0 internal-fault-fallbacks	    108442 signatures/s	         9.221 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   64794	     37033 ns/op	 442.42 MB/s	         0 internal-fault-fallbacks	    108013 signatures/s	         9.258 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   65040	     36891 ns/op	 444.12 MB/s	         0 internal-fault-fallbacks	    108429 signatures/s	         9.223 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   65942	     36391 ns/op	 900.44 MB/s	         0 internal-fault-fallbacks	    219834 signatures/s	         4.549 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   65941	     36383 ns/op	 900.63 MB/s	         0 internal-fault-fallbacks	    219880 signatures/s	         4.548 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   66018	     36354 ns/op	 901.35 MB/s	         0 internal-fault-fallbacks	    220056 signatures/s	         4.544 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    8661	    277122 ns/op	 945.95 MB/s	         0 internal-fault-fallbacks	    230945 signatures/s	         4.330 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    8662	    277090 ns/op	 946.06 MB/s	         0 internal-fault-fallbacks	    230972 signatures/s	         4.330 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    8660	    277333 ns/op	 945.23 MB/s	         0 internal-fault-fallbacks	    230769 signatures/s	         4.333 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1    	  185162	     12942 ns/op	  15.45 MB/s	         0 internal-fault-fallbacks	     77267 signatures/s	   1243136 table-bytes	        12.94 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1    	  185493	     12941 ns/op	  15.45 MB/s	         0 internal-fault-fallbacks	     77272 signatures/s	   1243136 table-bytes	        12.94 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1    	  185706	     12933 ns/op	  15.46 MB/s	         0 internal-fault-fallbacks	     77324 signatures/s	   1243136 table-bytes	        12.93 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2    	  108403	     22119 ns/op	  18.08 MB/s	         0 internal-fault-fallbacks	     90419 signatures/s	   1243136 table-bytes	        11.06 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2    	  108308	     22127 ns/op	  18.08 MB/s	         0 internal-fault-fallbacks	     90388 signatures/s	   1243136 table-bytes	        11.06 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2    	  108404	     22133 ns/op	  18.07 MB/s	         0 internal-fault-fallbacks	     90364 signatures/s	   1243136 table-bytes	        11.07 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4    	  181075	     13227 ns/op	  60.48 MB/s	         0 internal-fault-fallbacks	    302411 signatures/s	   1243136 table-bytes	         3.307 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4    	  181450	     13225 ns/op	  60.49 MB/s	         0 internal-fault-fallbacks	    302451 signatures/s	   1243136 table-bytes	         3.306 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4    	  180924	     13245 ns/op	  60.40 MB/s	         0 internal-fault-fallbacks	    302008 signatures/s	   1243136 table-bytes	         3.311 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8    	   97839	     24519 ns/op	  65.26 MB/s	         0 internal-fault-fallbacks	    326277 signatures/s	   1243136 table-bytes	         3.065 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8    	   97860	     24523 ns/op	  65.25 MB/s	         0 internal-fault-fallbacks	    326230 signatures/s	   1243136 table-bytes	         3.065 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8    	   97862	     24523 ns/op	  65.25 MB/s	         0 internal-fault-fallbacks	    326231 signatures/s	   1243136 table-bytes	         3.065 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64   	   12890	    185931 ns/op	  68.84 MB/s	         0 internal-fault-fallbacks	    344215 signatures/s	   1243136 table-bytes	         2.905 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64   	   12906	    186071 ns/op	  68.79 MB/s	         0 internal-fault-fallbacks	    343955 signatures/s	   1243136 table-bytes	         2.907 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64   	   12906	    186011 ns/op	  68.81 MB/s	         0 internal-fault-fallbacks	    344065 signatures/s	   1243136 table-bytes	         2.906 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1   	  173775	     13797 ns/op	  89.29 MB/s	         0 internal-fault-fallbacks	     72479 signatures/s	   1243136 table-bytes	        13.80 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1   	  173946	     13794 ns/op	  89.32 MB/s	         0 internal-fault-fallbacks	     72496 signatures/s	   1243136 table-bytes	        13.79 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1   	  173956	     13800 ns/op	  89.28 MB/s	         0 internal-fault-fallbacks	     72464 signatures/s	   1243136 table-bytes	        13.80 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2   	  100207	     23924 ns/op	 102.99 MB/s	         0 internal-fault-fallbacks	     83598 signatures/s	   1243136 table-bytes	        11.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2   	  100207	     23931 ns/op	 102.96 MB/s	         0 internal-fault-fallbacks	     83574 signatures/s	   1243136 table-bytes	        11.97 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2   	  100225	     23929 ns/op	 102.97 MB/s	         0 internal-fault-fallbacks	     83580 signatures/s	   1243136 table-bytes	        11.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4   	  147175	     16221 ns/op	 303.80 MB/s	         0 internal-fault-fallbacks	    246587 signatures/s	   1243136 table-bytes	         4.055 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4   	  147555	     16229 ns/op	 303.66 MB/s	         0 internal-fault-fallbacks	    246474 signatures/s	   1243136 table-bytes	         4.057 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4   	  147856	     16229 ns/op	 303.65 MB/s	         0 internal-fault-fallbacks	    246471 signatures/s	   1243136 table-bytes	         4.057 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8   	   78448	     30574 ns/op	 322.37 MB/s	         0 internal-fault-fallbacks	    261662 signatures/s	   1243136 table-bytes	         3.822 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8   	   78553	     30541 ns/op	 322.71 MB/s	         0 internal-fault-fallbacks	    261944 signatures/s	   1243136 table-bytes	         3.818 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8   	   78494	     30550 ns/op	 322.62 MB/s	         0 internal-fault-fallbacks	    261867 signatures/s	   1243136 table-bytes	         3.819 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64  	   10000	    234068 ns/op	 336.86 MB/s	         0 internal-fault-fallbacks	    273424 signatures/s	   1243136 table-bytes	         3.657 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64  	   10000	    233932 ns/op	 337.06 MB/s	         0 internal-fault-fallbacks	    273584 signatures/s	   1243136 table-bytes	         3.655 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64  	   10000	    233932 ns/op	 337.05 MB/s	         0 internal-fault-fallbacks	    273583 signatures/s	   1243136 table-bytes	         3.655 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=1   	  152210	     15750 ns/op	 260.06 MB/s	         0 internal-fault-fallbacks	     63490 signatures/s	   1243136 table-bytes	        15.75 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=1   	  152293	     15755 ns/op	 259.98 MB/s	         0 internal-fault-fallbacks	     63471 signatures/s	   1243136 table-bytes	        15.76 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=1   	  152331	     15756 ns/op	 259.97 MB/s	         0 internal-fault-fallbacks	     63469 signatures/s	   1243136 table-bytes	        15.76 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=2   	   84951	     28229 ns/op	 290.19 MB/s	         0 internal-fault-fallbacks	     70848 signatures/s	   1243136 table-bytes	        14.11 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=2   	   84934	     28232 ns/op	 290.16 MB/s	         0 internal-fault-fallbacks	     70840 signatures/s	   1243136 table-bytes	        14.12 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=2   	   85021	     28213 ns/op	 290.36 MB/s	         0 internal-fault-fallbacks	     70890 signatures/s	   1243136 table-bytes	        14.11 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=4   	   98242	     24420 ns/op	 670.94 MB/s	         0 internal-fault-fallbacks	    163803 signatures/s	   1243136 table-bytes	         6.105 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=4   	   98101	     24419 ns/op	 670.97 MB/s	         0 internal-fault-fallbacks	    163810 signatures/s	   1243136 table-bytes	         6.105 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=4096/n=4   	   98348	     24406 ns/op	 671.31 MB/s	         0 internal-fault-fallbacks	    163895 signatures/s	   1243136 table-bytes	         6.101 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
