goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=1232         	  173215	     13853 ns/op	     72186 sig/s	        13.85 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=1232         	  173191	     13858 ns/op	     72163 sig/s	        13.86 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=1232         	  173241	     13856 ns/op	     72171 sig/s	        13.86 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=1232             	   86595	     27693 ns/op	     36110 sig/s	        27.69 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=1232             	   86686	     27679 ns/op	     36128 sig/s	        27.68 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=1232             	   86727	     27693 ns/op	     36110 sig/s	        27.69 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=1232     	  109122	     21977 ns/op	     45502 sig/s	        21.98 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=1232     	  109204	     21979 ns/op	     45497 sig/s	        21.98 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=1232     	  109219	     21978 ns/op	     45501 sig/s	        21.98 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=1/msg=1232 	  125280	     19154 ns/op	     52208 sig/s	        19.15 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=1/msg=1232 	  125252	     19161 ns/op	     52190 sig/s	        19.16 µs/sig	       0 B/op	       0 allocs/op
