goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   91359	     13184 ns/op	  15.17 MB/s	         0 internal-fault-fallbacks	     75852 signatures/s	        13.18 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   91030	     13175 ns/op	  15.18 MB/s	         0 internal-fault-fallbacks	     75904 signatures/s	        13.17 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	   91146	     13099 ns/op	  15.27 MB/s	         0 internal-fault-fallbacks	     76342 signatures/s	        13.10 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   46003	     26104 ns/op	  15.32 MB/s	         0 internal-fault-fallbacks	     76616 signatures/s	        13.05 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   45802	     26197 ns/op	  15.27 MB/s	         0 internal-fault-fallbacks	     76345 signatures/s	        13.10 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   45792	     26217 ns/op	  15.26 MB/s	         0 internal-fault-fallbacks	     76287 signatures/s	        13.11 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   39945	     30083 ns/op	  26.59 MB/s	         0 internal-fault-fallbacks	    132964 signatures/s	         7.521 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   39859	     30095 ns/op	  26.58 MB/s	         0 internal-fault-fallbacks	    132912 signatures/s	         7.524 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   39866	     30095 ns/op	  26.58 MB/s	         0 internal-fault-fallbacks	    132914 signatures/s	         7.524 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   41064	     29227 ns/op	  54.74 MB/s	         0 internal-fault-fallbacks	    273720 signatures/s	         3.653 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   41044	     29240 ns/op	  54.72 MB/s	         0 internal-fault-fallbacks	    273597 signatures/s	         3.655 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   41031	     29253 ns/op	  54.69 MB/s	         0 internal-fault-fallbacks	    273474 signatures/s	         3.657 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    5460	    219967 ns/op	  58.19 MB/s	         0 internal-fault-fallbacks	    290952 signatures/s	         3.437 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    5461	    219975 ns/op	  58.19 MB/s	         0 internal-fault-fallbacks	    290942 signatures/s	         3.437 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    5455	    219994 ns/op	  58.18 MB/s	         0 internal-fault-fallbacks	    290918 signatures/s	         3.437 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   86230	     13895 ns/op	  88.67 MB/s	         0 internal-fault-fallbacks	     71970 signatures/s	        13.89 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   86348	     13897 ns/op	  88.65 MB/s	         0 internal-fault-fallbacks	     71956 signatures/s	        13.90 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   86218	     13924 ns/op	  88.48 MB/s	         0 internal-fault-fallbacks	     71821 signatures/s	        13.92 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   43314	     27713 ns/op	  88.91 MB/s	         0 internal-fault-fallbacks	     72167 signatures/s	        13.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   43286	     27729 ns/op	  88.86 MB/s	         0 internal-fault-fallbacks	     72126 signatures/s	        13.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   43285	     27721 ns/op	  88.89 MB/s	         0 internal-fault-fallbacks	     72149 signatures/s	        13.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   37599	     31932 ns/op	 154.33 MB/s	         0 internal-fault-fallbacks	    125267 signatures/s	         7.983 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   37570	     31922 ns/op	 154.38 MB/s	         0 internal-fault-fallbacks	    125306 signatures/s	         7.980 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   37592	     31930 ns/op	 154.34 MB/s	         0 internal-fault-fallbacks	    125273 signatures/s	         7.983 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   38196	     31453 ns/op	 313.36 MB/s	         0 internal-fault-fallbacks	    254348 signatures/s	         3.932 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   38384	     31251 ns/op	 315.38 MB/s	         0 internal-fault-fallbacks	    255989 signatures/s	         3.906 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   38304	     31305 ns/op	 314.84 MB/s	         0 internal-fault-fallbacks	    255551 signatures/s	         3.913 us/signature	       0 B/op	       0 allocs/op
