goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=200         	   39016	     30847 ns/op	         3.856 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=200         	   38875	     30874 ns/op	         3.859 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=200         	   38859	     30889 ns/op	         3.861 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=200         	   38845	     30898 ns/op	         3.862 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=200         	   38830	     30904 ns/op	         3.863 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=200         	   38827	     30912 ns/op	         3.864 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=200     	   38749	     30944 ns/op	         3.868 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=200     	   39325	     30511 ns/op	         3.814 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=200     	   39308	     30519 ns/op	         3.815 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=200     	   39316	     30526 ns/op	         3.816 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=200     	   39309	     30522 ns/op	         3.815 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=200     	   39306	     30529 ns/op	         3.816 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=64/msg=200        	    5088	    233988 ns/op	         3.656 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=64/msg=200        	    5076	    233974 ns/op	         3.656 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=64/msg=200        	    5073	    234114 ns/op	         3.658 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=64/msg=200        	    5074	    234128 ns/op	         3.658 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=64/msg=200        	    5068	    234102 ns/op	         3.658 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=64/msg=200        	    5073	    234153 ns/op	         3.659 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=64/msg=200    	    5097	    230758 ns/op	         3.606 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=64/msg=200    	    5107	    230685 ns/op	         3.604 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=64/msg=200    	    5104	    230641 ns/op	         3.604 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=64/msg=200    	    5106	    230760 ns/op	         3.606 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=64/msg=200    	    5103	    230777 ns/op	         3.606 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=64/msg=200    	    5110	    230792 ns/op	         3.606 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=1232        	   36427	     32945 ns/op	         4.118 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=1232        	   36436	     32934 ns/op	         4.117 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=1232        	   36432	     32927 ns/op	         4.116 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=1232        	   36424	     32925 ns/op	         4.116 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=1232        	   36430	     32927 ns/op	         4.116 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=1232        	   36438	     32931 ns/op	         4.116 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=1232    	   36906	     32500 ns/op	         4.063 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=1232    	   36898	     32517 ns/op	         4.065 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=1232    	   36897	     32518 ns/op	         4.065 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=1232    	   36900	     32520 ns/op	         4.065 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=1232    	   36906	     32514 ns/op	         4.064 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=1232    	   36901	     32496 ns/op	         4.062 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=64/msg=1232       	    4816	    249751 ns/op	         3.902 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=64/msg=1232       	    4798	    249840 ns/op	         3.904 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=64/msg=1232       	    4801	    249879 ns/op	         3.904 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=64/msg=1232       	    4802	    249822 ns/op	         3.903 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=64/msg=1232       	    4803	    249845 ns/op	         3.904 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=64/msg=1232       	    4803	    249771 ns/op	         3.903 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=64/msg=1232   	    4834	    247598 ns/op	         3.869 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=64/msg=1232   	    4848	    247729 ns/op	         3.871 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=64/msg=1232   	    4836	    247746 ns/op	         3.871 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=64/msg=1232   	    4845	    247696 ns/op	         3.870 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=64/msg=1232   	    4844	    247705 ns/op	         3.870 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=64/msg=1232   	    4844	    247721 ns/op	         3.871 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=4096        	   30897	     38836 ns/op	         4.854 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=4096        	   30910	     38826 ns/op	         4.853 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=4096        	   30889	     38844 ns/op	         4.856 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=4096        	   30902	     38820 ns/op	         4.852 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=4096        	   30740	     39034 ns/op	         4.879 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=8/msg=4096        	   30896	     38833 ns/op	         4.854 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=4096    	   31243	     38394 ns/op	         4.799 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=4096    	   31233	     38408 ns/op	         4.801 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=4096    	   31236	     38416 ns/op	         4.802 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=4096    	   31238	     38404 ns/op	         4.800 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=4096    	   31237	     38412 ns/op	         4.802 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=intermediate-p2/n=8/msg=4096    	   31248	     38401 ns/op	         4.800 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=64/msg=4096       	    4017	    299005 ns/op	         4.672 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=64/msg=4096       	    4036	    297433 ns/op	         4.647 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=64/msg=4096       	    4034	    297482 ns/op	         4.648 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=64/msg=4096       	    4034	    297426 ns/op	         4.647 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAProjectiveDoubleX8CompletePipeline/path=complete-p3/n=64/msg=4096       	    4033	    297394 ns/op	         4.647 us/signature	       0 B/op	       0 allocs/op
