goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  179634	     13379 ns/op	  14.95 MB/s	         0 internal-fault-fallbacks	     74742 signatures/s	        13.38 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  179260	     13401 ns/op	  14.92 MB/s	         0 internal-fault-fallbacks	     74623 signatures/s	        13.40 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  178963	     13411 ns/op	  14.91 MB/s	         0 internal-fault-fallbacks	     74567 signatures/s	        13.41 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  179232	     13392 ns/op	  14.93 MB/s	         0 internal-fault-fallbacks	     74673 signatures/s	        13.39 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  179104	     13402 ns/op	  14.92 MB/s	         0 internal-fault-fallbacks	     74615 signatures/s	        13.40 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  179074	     13407 ns/op	  14.92 MB/s	         0 internal-fault-fallbacks	     74586 signatures/s	        13.41 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  178804	     13420 ns/op	  14.90 MB/s	         0 internal-fault-fallbacks	     74518 signatures/s	        13.42 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  179016	     13404 ns/op	  14.92 MB/s	         0 internal-fault-fallbacks	     74603 signatures/s	        13.40 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  179050	     13406 ns/op	  14.92 MB/s	         0 internal-fault-fallbacks	     74594 signatures/s	        13.41 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  179052	     13406 ns/op	  14.92 MB/s	         0 internal-fault-fallbacks	     74593 signatures/s	        13.41 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   89625	     26786 ns/op	  14.93 MB/s	         0 internal-fault-fallbacks	     74665 signatures/s	        13.39 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   89631	     26772 ns/op	  14.94 MB/s	         0 internal-fault-fallbacks	     74706 signatures/s	        13.39 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   89612	     26772 ns/op	  14.94 MB/s	         0 internal-fault-fallbacks	     74704 signatures/s	        13.39 us/signature	       0 B/op	       0 allocs/op
