ok  	github.com/Overclock-Validator/narya-ed25519/cmd/sigverifytracebench	0.003s
ok  	github.com/Overclock-Validator/narya-ed25519/ed25519	40.977s
ok  	github.com/Overclock-Validator/narya-ed25519/internal/cpufeat	0.001s
ok  	github.com/Overclock-Validator/narya-ed25519/internal/edwards25519	0.031s
ok  	github.com/Overclock-Validator/narya-ed25519/internal/edwards25519/field	0.825s
ok  	github.com/Overclock-Validator/narya-ed25519/internal/heea8l	34.634s
?   	github.com/Overclock-Validator/narya-ed25519/internal/heea8l/cmd/sample	[no test files]
ok  	github.com/Overclock-Validator/narya-ed25519/internal/mithriltracev3	0.001s
ok  	github.com/Overclock-Validator/narya-ed25519/internal/r43x6	1.560s
ok  	github.com/Overclock-Validator/narya-ed25519/internal/r51x5	13.580s
ok  	github.com/Overclock-Validator/narya-ed25519/internal/sigprep	0.962s
ok  	github.com/Overclock-Validator/narya-ed25519/internal/tracebench	0.031s
ok  	github.com/Overclock-Validator/narya-ed25519/scripts/unaffectedbench	0.001s [no tests to run]
ok  	github.com/Overclock-Validator/narya-ed25519/sha512mb	0.071s
