goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   37172	     32777 ns/op	  48.81 MB/s	         0 internal-fault-fallbacks	    244072 signatures/s	         4.097 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   36586	     32817 ns/op	  48.76 MB/s	         0 internal-fault-fallbacks	    243779 signatures/s	         4.102 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   36526	     32768 ns/op	  48.83 MB/s	         0 internal-fault-fallbacks	    244142 signatures/s	         4.096 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   36518	     32858 ns/op	  48.69 MB/s	         0 internal-fault-fallbacks	    243471 signatures/s	         4.107 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   36498	     32654 ns/op	  49.00 MB/s	         0 internal-fault-fallbacks	    244992 signatures/s	         4.082 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   37596	     32839 ns/op	  48.72 MB/s	         0 internal-fault-fallbacks	    243613 signatures/s	         4.105 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    4903	    242809 ns/op	  52.72 MB/s	         0 internal-fault-fallbacks	    263582 signatures/s	         3.794 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    4896	    245583 ns/op	  52.12 MB/s	         0 internal-fault-fallbacks	    260604 signatures/s	         3.837 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    4960	    242018 ns/op	  52.89 MB/s	         0 internal-fault-fallbacks	    264443 signatures/s	         3.782 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    4958	    247430 ns/op	  51.73 MB/s	         0 internal-fault-fallbacks	    258659 signatures/s	         3.866 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    4818	    242199 ns/op	  52.85 MB/s	         0 internal-fault-fallbacks	    264246 signatures/s	         3.784 us/signature	       0 B/op	       0 allocs/op
