goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=1232         	  159300	     15079 ns/op	     66316 sig/s	        15.08 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=1232         	  159081	     15088 ns/op	     66279 sig/s	        15.09 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=1232         	  159235	     15089 ns/op	     66272 sig/s	        15.09 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=1232         	  159174	     15103 ns/op	     66211 sig/s	        15.10 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=1232         	  159009	     15108 ns/op	     66188 sig/s	        15.11 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=1/msg=1232         	  158842	     15117 ns/op	     66151 sig/s	        15.12 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=1232             	   86494	     27767 ns/op	     36013 sig/s	        27.77 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=1232             	   86396	     27785 ns/op	     35991 sig/s	        27.78 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=1232             	   86360	     27783 ns/op	     35993 sig/s	        27.78 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=1232             	   86426	     27786 ns/op	     35990 sig/s	        27.79 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=1232             	   86437	     27813 ns/op	     35955 sig/s	        27.81 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=1/msg=1232             	   86319	     27807 ns/op	     35962 sig/s	        27.81 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=1232     	  108631	     22097 ns/op	     45254 sig/s	        22.10 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=1232     	  108511	     22106 ns/op	     45237 sig/s	        22.11 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=1232     	  108576	     22099 ns/op	     45252 sig/s	        22.10 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=1/msg=1232     	  108590	     22107 ns/op	     45235 sig/s	        22.11 µs/sig	       0 B/op	       0 allocs/op
