goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  254232	     14186 ns/op	  14.10 MB/s	         0 internal-fault-fallbacks	     70490 signatures/s	        14.19 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  253650	     14205 ns/op	  14.08 MB/s	         0 internal-fault-fallbacks	     70399 signatures/s	        14.20 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  253417	     14205 ns/op	  14.08 MB/s	         0 internal-fault-fallbacks	     70400 signatures/s	        14.20 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  253446	     14208 ns/op	  14.08 MB/s	         0 internal-fault-fallbacks	     70381 signatures/s	        14.21 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  253268	     14219 ns/op	  14.07 MB/s	         0 internal-fault-fallbacks	     70330 signatures/s	        14.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  253198	     14220 ns/op	  14.07 MB/s	         0 internal-fault-fallbacks	     70326 signatures/s	        14.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  253114	     14225 ns/op	  14.06 MB/s	         0 internal-fault-fallbacks	     70300 signatures/s	        14.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  252986	     14227 ns/op	  14.06 MB/s	         0 internal-fault-fallbacks	     70289 signatures/s	        14.23 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  253004	     14228 ns/op	  14.06 MB/s	         0 internal-fault-fallbacks	     70284 signatures/s	        14.23 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  253011	     14225 ns/op	  14.06 MB/s	         0 internal-fault-fallbacks	     70297 signatures/s	        14.23 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	  125787	     28599 ns/op	  13.99 MB/s	         0 internal-fault-fallbacks	     69932 signatures/s	        14.30 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	  125862	     28608 ns/op	  13.98 MB/s	         0 internal-fault-fallbacks	     69911 signatures/s	        14.30 us/signature	       0 B/op	       0 allocs/op
