goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	  253720	     14208 ns/op	  14.08 MB/s	         0 internal-fault-fallbacks	     70384 signatures/s	   1243136 table-bytes	        14.21 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	  253159	     14222 ns/op	  14.06 MB/s	         0 internal-fault-fallbacks	     70316 signatures/s	   1243136 table-bytes	        14.22 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	  253047	     14229 ns/op	  14.06 MB/s	         0 internal-fault-fallbacks	     70281 signatures/s	   1243136 table-bytes	        14.23 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	  252944	     14233 ns/op	  14.05 MB/s	         0 internal-fault-fallbacks	     70257 signatures/s	   1243136 table-bytes	        14.23 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	  252895	     14237 ns/op	  14.05 MB/s	         0 internal-fault-fallbacks	     70241 signatures/s	   1243136 table-bytes	        14.24 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	  252871	     14236 ns/op	  14.05 MB/s	         0 internal-fault-fallbacks	     70245 signatures/s	   1243136 table-bytes	        14.24 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	  252846	     14235 ns/op	  14.05 MB/s	         0 internal-fault-fallbacks	     70250 signatures/s	   1243136 table-bytes	        14.23 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	  252866	     14234 ns/op	  14.05 MB/s	         0 internal-fault-fallbacks	     70254 signatures/s	   1243136 table-bytes	        14.23 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	  252888	     14237 ns/op	  14.05 MB/s	         0 internal-fault-fallbacks	     70240 signatures/s	   1243136 table-bytes	        14.24 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=1         	  252856	     14228 ns/op	  14.06 MB/s	         0 internal-fault-fallbacks	     70284 signatures/s	   1243136 table-bytes	        14.23 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	  126278	     28500 ns/op	  14.04 MB/s	         0 internal-fault-fallbacks	     70175 signatures/s	   1243136 table-bytes	        14.25 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=2         	  126274	     28504 ns/op	  14.03 MB/s	         0 internal-fault-fallbacks	     70165 signatures/s	   1243136 table-bytes	        14.25 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
