goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  160234	     14959 ns/op	  82.36 MB/s	         0 internal-fault-fallbacks	     66850 signatures/s	        14.96 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  160443	     14959 ns/op	  82.36 MB/s	         0 internal-fault-fallbacks	     66850 signatures/s	        14.96 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  160363	     14960 ns/op	  82.36 MB/s	         0 internal-fault-fallbacks	     66847 signatures/s	        14.96 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  160628	     14963 ns/op	  82.34 MB/s	         0 internal-fault-fallbacks	     66831 signatures/s	        14.96 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  160302	     14975 ns/op	  82.27 MB/s	         0 internal-fault-fallbacks	     66780 signatures/s	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  160279	     14973 ns/op	  82.28 MB/s	         0 internal-fault-fallbacks	     66789 signatures/s	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   79884	     30059 ns/op	  81.97 MB/s	         0 internal-fault-fallbacks	     66535 signatures/s	        15.03 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   79777	     30057 ns/op	  81.98 MB/s	         0 internal-fault-fallbacks	     66541 signatures/s	        15.03 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   79862	     30065 ns/op	  81.96 MB/s	         0 internal-fault-fallbacks	     66522 signatures/s	        15.03 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   79828	     30080 ns/op	  81.91 MB/s	         0 internal-fault-fallbacks	     66489 signatures/s	        15.04 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   79802	     30068 ns/op	  81.95 MB/s	         0 internal-fault-fallbacks	     66515 signatures/s	        15.03 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   79834	     30058 ns/op	  81.98 MB/s	         0 internal-fault-fallbacks	     66538 signatures/s	        15.03 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4         	   68792	     34942 ns/op	 141.03 MB/s	         0 internal-fault-fallbacks	    114474 signatures/s	         8.736 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4         	   68779	     34899 ns/op	 141.21 MB/s	         0 internal-fault-fallbacks	    114618 signatures/s	         8.725 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4         	   68782	     34942 ns/op	 141.04 MB/s	         0 internal-fault-fallbacks	    114477 signatures/s	         8.735 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4         	   68762	     34954 ns/op	 140.99 MB/s	         0 internal-fault-fallbacks	    114436 signatures/s	         8.739 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4         	   68653	     34909 ns/op	 141.17 MB/s	         0 internal-fault-fallbacks	    114585 signatures/s	         8.727 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4         	   68594	     34983 ns/op	 140.87 MB/s	         0 internal-fault-fallbacks	    114341 signatures/s	         8.746 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8         	   64352	     37328 ns/op	 264.04 MB/s	         0 internal-fault-fallbacks	    214316 signatures/s	         4.666 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8         	   64303	     37313 ns/op	 264.14 MB/s	         0 internal-fault-fallbacks	    214400 signatures/s	         4.664 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8         	   64284	     37411 ns/op	 263.45 MB/s	         0 internal-fault-fallbacks	    213840 signatures/s	         4.676 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8         	   64182	     37395 ns/op	 263.56 MB/s	         0 internal-fault-fallbacks	    213932 signatures/s	         4.674 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8         	   64084	     37428 ns/op	 263.33 MB/s	         0 internal-fault-fallbacks	    213745 signatures/s	         4.678 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8         	   64128	     37423 ns/op	 263.37 MB/s	         0 internal-fault-fallbacks	    213774 signatures/s	         4.678 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64        	    8400	    285754 ns/op	 275.93 MB/s	         0 internal-fault-fallbacks	    223969 signatures/s	         4.465 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64        	    8403	    285823 ns/op	 275.86 MB/s	         0 internal-fault-fallbacks	    223915 signatures/s	         4.466 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64        	    8410	    285705 ns/op	 275.98 MB/s	         0 internal-fault-fallbacks	    224007 signatures/s	         4.464 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64        	    8319	    288313 ns/op	 273.48 MB/s	         0 internal-fault-fallbacks	    221981 signatures/s	         4.505 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64        	    8400	    285809 ns/op	 275.88 MB/s	         0 internal-fault-fallbacks	    223926 signatures/s	         4.466 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64        	    8403	    285848 ns/op	 275.84 MB/s	         0 internal-fault-fallbacks	    223895 signatures/s	         4.466 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1    	  160106	     14947 ns/op	  82.43 MB/s	         0 internal-fault-fallbacks	     66905 signatures/s	   1243136 table-bytes	        14.95 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1    	  160512	     14949 ns/op	  82.41 MB/s	         0 internal-fault-fallbacks	     66895 signatures/s	   1243136 table-bytes	        14.95 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1    	  160586	     14941 ns/op	  82.46 MB/s	         0 internal-fault-fallbacks	     66929 signatures/s	   1243136 table-bytes	        14.94 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1    	  160659	     14941 ns/op	  82.46 MB/s	         0 internal-fault-fallbacks	     66931 signatures/s	   1243136 table-bytes	        14.94 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1    	  160560	     14943 ns/op	  82.45 MB/s	         0 internal-fault-fallbacks	     66921 signatures/s	   1243136 table-bytes	        14.94 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1    	  160568	     14943 ns/op	  82.44 MB/s	         0 internal-fault-fallbacks	     66919 signatures/s	   1243136 table-bytes	        14.94 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2    	   80209	     29920 ns/op	  82.35 MB/s	         0 internal-fault-fallbacks	     66846 signatures/s	   1243136 table-bytes	        14.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2    	   80187	     29923 ns/op	  82.34 MB/s	         0 internal-fault-fallbacks	     66838 signatures/s	   1243136 table-bytes	        14.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2    	   80230	     29917 ns/op	  82.36 MB/s	         0 internal-fault-fallbacks	     66853 signatures/s	   1243136 table-bytes	        14.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2    	   80223	     29918 ns/op	  82.36 MB/s	         0 internal-fault-fallbacks	     66849 signatures/s	   1243136 table-bytes	        14.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2    	   80221	     29922 ns/op	  82.35 MB/s	         0 internal-fault-fallbacks	     66841 signatures/s	   1243136 table-bytes	        14.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2    	   80247	     29913 ns/op	  82.37 MB/s	         0 internal-fault-fallbacks	     66861 signatures/s	   1243136 table-bytes	        14.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4    	  144818	     16593 ns/op	 297.00 MB/s	         0 internal-fault-fallbacks	    241071 signatures/s	   1243136 table-bytes	         4.148 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4    	  144702	     16584 ns/op	 297.16 MB/s	         0 internal-fault-fallbacks	    241199 signatures/s	   1243136 table-bytes	         4.146 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4    	  144714	     16605 ns/op	 296.79 MB/s	         0 internal-fault-fallbacks	    240897 signatures/s	   1243136 table-bytes	         4.151 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4    	  144280	     16631 ns/op	 296.31 MB/s	         0 internal-fault-fallbacks	    240510 signatures/s	   1243136 table-bytes	         4.158 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4    	  144734	     16592 ns/op	 297.01 MB/s	         0 internal-fault-fallbacks	    241083 signatures/s	   1243136 table-bytes	         4.148 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4    	  144718	     16633 ns/op	 296.28 MB/s	         0 internal-fault-fallbacks	    240485 signatures/s	   1243136 table-bytes	         4.158 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8    	   76586	     31327 ns/op	 314.61 MB/s	         0 internal-fault-fallbacks	    255369 signatures/s	   1243136 table-bytes	         3.916 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8    	   76580	     31332 ns/op	 314.56 MB/s	         0 internal-fault-fallbacks	    255327 signatures/s	   1243136 table-bytes	         3.917 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8    	   76576	     31325 ns/op	 314.64 MB/s	         0 internal-fault-fallbacks	    255388 signatures/s	   1243136 table-bytes	         3.916 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8    	   76594	     31336 ns/op	 314.53 MB/s	         0 internal-fault-fallbacks	    255297 signatures/s	   1243136 table-bytes	         3.917 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8    	   76560	     31339 ns/op	 314.50 MB/s	         0 internal-fault-fallbacks	    255274 signatures/s	   1243136 table-bytes	         3.917 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8    	   76573	     31340 ns/op	 314.48 MB/s	         0 internal-fault-fallbacks	    255263 signatures/s	   1243136 table-bytes	         3.918 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64   	    9966	    240070 ns/op	 328.44 MB/s	         0 internal-fault-fallbacks	    266588 signatures/s	   1243136 table-bytes	         3.751 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64   	    9990	    239816 ns/op	 328.78 MB/s	         0 internal-fault-fallbacks	    266871 signatures/s	   1243136 table-bytes	         3.747 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
