goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  163008	     14740 ns/op	  83.58 MB/s	         0 internal-fault-fallbacks	     67843 signatures/s	        14.74 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  162708	     14750 ns/op	  83.53 MB/s	         0 internal-fault-fallbacks	     67798 signatures/s	        14.75 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  162651	     14763 ns/op	  83.45 MB/s	         0 internal-fault-fallbacks	     67738 signatures/s	        14.76 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  162422	     14771 ns/op	  83.41 MB/s	         0 internal-fault-fallbacks	     67699 signatures/s	        14.77 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  162517	     14770 ns/op	  83.41 MB/s	         0 internal-fault-fallbacks	     67706 signatures/s	        14.77 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1         	  162504	     14765 ns/op	  83.44 MB/s	         0 internal-fault-fallbacks	     67726 signatures/s	        14.77 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   80766	     29729 ns/op	  82.88 MB/s	         0 internal-fault-fallbacks	     67275 signatures/s	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   80698	     29731 ns/op	  82.88 MB/s	         0 internal-fault-fallbacks	     67269 signatures/s	        14.87 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   80721	     29728 ns/op	  82.88 MB/s	         0 internal-fault-fallbacks	     67276 signatures/s	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   80694	     29731 ns/op	  82.88 MB/s	         0 internal-fault-fallbacks	     67271 signatures/s	        14.87 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   80738	     29726 ns/op	  82.89 MB/s	         0 internal-fault-fallbacks	     67280 signatures/s	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2         	   80745	     29730 ns/op	  82.88 MB/s	         0 internal-fault-fallbacks	     67271 signatures/s	        14.87 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4         	   68828	     34912 ns/op	 141.15 MB/s	         0 internal-fault-fallbacks	    114573 signatures/s	         8.728 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4         	   68752	     34909 ns/op	 141.17 MB/s	         0 internal-fault-fallbacks	    114583 signatures/s	         8.727 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4         	   68739	     34903 ns/op	 141.19 MB/s	         0 internal-fault-fallbacks	    114603 signatures/s	         8.726 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4         	   68751	     34927 ns/op	 141.09 MB/s	         0 internal-fault-fallbacks	    114524 signatures/s	         8.732 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4         	   68680	     34928 ns/op	 141.09 MB/s	         0 internal-fault-fallbacks	    114521 signatures/s	         8.732 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4         	   68695	     34934 ns/op	 141.07 MB/s	         0 internal-fault-fallbacks	    114501 signatures/s	         8.734 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8         	   64478	     37240 ns/op	 264.66 MB/s	         0 internal-fault-fallbacks	    214820 signatures/s	         4.655 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8         	   64609	     37154 ns/op	 265.28 MB/s	         0 internal-fault-fallbacks	    215323 signatures/s	         4.644 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8         	   64587	     37177 ns/op	 265.11 MB/s	         0 internal-fault-fallbacks	    215189 signatures/s	         4.647 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8         	   64614	     37174 ns/op	 265.13 MB/s	         0 internal-fault-fallbacks	    215207 signatures/s	         4.647 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8         	   64561	     37168 ns/op	 265.17 MB/s	         0 internal-fault-fallbacks	    215237 signatures/s	         4.646 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8         	   64525	     37194 ns/op	 264.99 MB/s	         0 internal-fault-fallbacks	    215086 signatures/s	         4.649 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64        	    8458	    284120 ns/op	 277.52 MB/s	         0 internal-fault-fallbacks	    225257 signatures/s	         4.439 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64        	    8451	    283843 ns/op	 277.79 MB/s	         0 internal-fault-fallbacks	    225477 signatures/s	         4.435 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64        	    8448	    283739 ns/op	 277.89 MB/s	         0 internal-fault-fallbacks	    225559 signatures/s	         4.433 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64        	    8462	    283824 ns/op	 277.81 MB/s	         0 internal-fault-fallbacks	    225492 signatures/s	         4.435 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64        	    8454	    284403 ns/op	 277.24 MB/s	         0 internal-fault-fallbacks	    225032 signatures/s	         4.444 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64        	    8452	    283871 ns/op	 277.76 MB/s	         0 internal-fault-fallbacks	    225454 signatures/s	         4.435 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1    	  159862	     14960 ns/op	  82.35 MB/s	         0 internal-fault-fallbacks	     66845 signatures/s	   1243136 table-bytes	        14.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1    	  160411	     14959 ns/op	  82.36 MB/s	         0 internal-fault-fallbacks	     66851 signatures/s	   1243136 table-bytes	        14.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1    	  160382	     14963 ns/op	  82.34 MB/s	         0 internal-fault-fallbacks	     66831 signatures/s	   1243136 table-bytes	        14.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1    	  160339	     14965 ns/op	  82.33 MB/s	         0 internal-fault-fallbacks	     66824 signatures/s	   1243136 table-bytes	        14.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1    	  160420	     14960 ns/op	  82.36 MB/s	         0 internal-fault-fallbacks	     66847 signatures/s	   1243136 table-bytes	        14.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1    	  160384	     14960 ns/op	  82.35 MB/s	         0 internal-fault-fallbacks	     66843 signatures/s	   1243136 table-bytes	        14.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2    	   80175	     29930 ns/op	  82.33 MB/s	         0 internal-fault-fallbacks	     66823 signatures/s	   1243136 table-bytes	        14.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2    	   80194	     29930 ns/op	  82.32 MB/s	         0 internal-fault-fallbacks	     66821 signatures/s	   1243136 table-bytes	        14.97 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2    	   80178	     29929 ns/op	  82.33 MB/s	         0 internal-fault-fallbacks	     66824 signatures/s	   1243136 table-bytes	        14.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2    	   80186	     29929 ns/op	  82.33 MB/s	         0 internal-fault-fallbacks	     66825 signatures/s	   1243136 table-bytes	        14.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2    	   80206	     29917 ns/op	  82.36 MB/s	         0 internal-fault-fallbacks	     66853 signatures/s	   1243136 table-bytes	        14.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2    	   80233	     29920 ns/op	  82.35 MB/s	         0 internal-fault-fallbacks	     66845 signatures/s	   1243136 table-bytes	        14.96 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4    	  144494	     16617 ns/op	 296.57 MB/s	         0 internal-fault-fallbacks	    240721 signatures/s	   1243136 table-bytes	         4.154 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4    	  144480	     16622 ns/op	 296.47 MB/s	         0 internal-fault-fallbacks	    240641 signatures/s	   1243136 table-bytes	         4.156 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4    	  144184	     16625 ns/op	 296.42 MB/s	         0 internal-fault-fallbacks	    240603 signatures/s	   1243136 table-bytes	         4.156 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4    	  144262	     16643 ns/op	 296.10 MB/s	         0 internal-fault-fallbacks	    240343 signatures/s	   1243136 table-bytes	         4.161 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4    	  144358	     16615 ns/op	 296.61 MB/s	         0 internal-fault-fallbacks	    240753 signatures/s	   1243136 table-bytes	         4.154 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4    	  144343	     16623 ns/op	 296.46 MB/s	         0 internal-fault-fallbacks	    240630 signatures/s	   1243136 table-bytes	         4.156 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8    	   76766	     31236 ns/op	 315.53 MB/s	         0 internal-fault-fallbacks	    256114 signatures/s	   1243136 table-bytes	         3.905 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8    	   76785	     31235 ns/op	 315.54 MB/s	         0 internal-fault-fallbacks	    256119 signatures/s	   1243136 table-bytes	         3.904 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8    	   76822	     31233 ns/op	 315.56 MB/s	         0 internal-fault-fallbacks	    256138 signatures/s	   1243136 table-bytes	         3.904 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8    	   76813	     31245 ns/op	 315.45 MB/s	         0 internal-fault-fallbacks	    256045 signatures/s	   1243136 table-bytes	         3.906 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8    	   76797	     31229 ns/op	 315.60 MB/s	         0 internal-fault-fallbacks	    256169 signatures/s	   1243136 table-bytes	         3.904 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8    	   76833	     31228 ns/op	 315.62 MB/s	         0 internal-fault-fallbacks	    256184 signatures/s	   1243136 table-bytes	         3.903 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64   	    9988	    240039 ns/op	 328.48 MB/s	         0 internal-fault-fallbacks	    266623 signatures/s	   1243136 table-bytes	         3.751 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=64   	    9994	    240066 ns/op	 328.44 MB/s	         0 internal-fault-fallbacks	    266593 signatures/s	   1243136 table-bytes	         3.751 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
