goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/internal/r51x5
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkWarmCombX8ShapeSweepExperiment/A6r9-B10r5/depth=48/keyKiB=18         	   98718	     12142 ns/op	     19200 B/key	      1518 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r9-B10r5/depth=48/keyKiB=18         	   98749	     12193 ns/op	     19200 B/key	      1524 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r9-B10r5/depth=48/keyKiB=18         	   98948	     12196 ns/op	     19200 B/key	      1524 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r9-B10r5/depth=48/keyKiB=18         	   98984	     12197 ns/op	     19200 B/key	      1525 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r9-B10r5/depth=48/keyKiB=18         	   99002	     12191 ns/op	     19200 B/key	      1524 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r7-B10r5/depth=40/keyKiB=26         	  103564	     11661 ns/op	     26880 B/key	      1458 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r7-B10r5/depth=40/keyKiB=26         	  103344	     11676 ns/op	     26880 B/key	      1460 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r7-B10r5/depth=40/keyKiB=26         	  103400	     11672 ns/op	     26880 B/key	      1459 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r7-B10r5/depth=40/keyKiB=26         	  103244	     11671 ns/op	     26880 B/key	      1459 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r7-B10r5/depth=40/keyKiB=26         	  103293	     11680 ns/op	     26880 B/key	      1460 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r5-B10r5/depth=40/keyKiB=33         	  103272	     11683 ns/op	     34560 B/key	      1460 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r5-B10r5/depth=40/keyKiB=33         	  103186	     11695 ns/op	     34560 B/key	      1462 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r5-B10r5/depth=40/keyKiB=33         	  103222	     11701 ns/op	     34560 B/key	      1463 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r5-B10r5/depth=40/keyKiB=33         	  102794	     11702 ns/op	     34560 B/key	      1463 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r5-B10r5/depth=40/keyKiB=33         	  102982	     11701 ns/op	     34560 B/key	      1463 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r5-B10r3/depth=24/keyKiB=33         	  113764	     10617 ns/op	     34560 B/key	      1327 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r5-B10r3/depth=24/keyKiB=33         	  113590	     10639 ns/op	     34560 B/key	      1330 ns/signature	       0 B/op	       0 allocs/op
