goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=200         	   80739	     29847 ns/op	        14.92 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=200         	   80331	     29886 ns/op	        14.94 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=200         	   80301	     29901 ns/op	        14.95 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=200         	   80271	     29883 ns/op	        14.94 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=200         	   80308	     29884 ns/op	        14.94 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=200         	   80271	     29884 ns/op	        14.94 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=200         	   80239	     29912 ns/op	        14.96 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=200         	   80226	     29918 ns/op	        14.96 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=200         	   80232	     29928 ns/op	        14.96 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=200         	   80132	     29951 ns/op	        14.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=200         	   80128	     29949 ns/op	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=200         	   80119	     29930 ns/op	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=200         	   80180	     29948 ns/op	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=200         	   80187	     29958 ns/op	        14.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=200         	   80080	     29950 ns/op	        14.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=200         	   80109	     29944 ns/op	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=200         	   80148	     29933 ns/op	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=200         	   80109	     29954 ns/op	        14.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=200         	   80096	     29951 ns/op	        14.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=200         	   80121	     29948 ns/op	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=200                   	   77570	     30936 ns/op	         7.734 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=200                   	   77565	     30983 ns/op	         7.746 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=200                   	   77434	     30975 ns/op	         7.744 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=200                   	   77526	     30951 ns/op	         7.738 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=200                   	   77510	     30964 ns/op	         7.741 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=200                   	   77486	     30953 ns/op	         7.738 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=200                   	   77550	     30950 ns/op	         7.737 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=200                   	   77518	     30957 ns/op	         7.739 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=200                   	   77462	     30971 ns/op	         7.743 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=200                   	   77508	     30967 ns/op	         7.742 us/signature	       0 B/op	       0 allocs/op
