goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  171535	     14018 ns/op	  14.27 MB/s	         0 internal-fault-fallbacks	     71337 signatures/s	        14.02 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  171064	     14032 ns/op	  14.25 MB/s	         0 internal-fault-fallbacks	     71268 signatures/s	        14.03 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  170996	     14038 ns/op	  14.25 MB/s	         0 internal-fault-fallbacks	     71236 signatures/s	        14.04 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  171062	     14035 ns/op	  14.25 MB/s	         0 internal-fault-fallbacks	     71251 signatures/s	        14.03 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  170907	     14039 ns/op	  14.25 MB/s	         0 internal-fault-fallbacks	     71230 signatures/s	        14.04 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  170906	     14042 ns/op	  14.24 MB/s	         0 internal-fault-fallbacks	     71213 signatures/s	        14.04 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  170880	     14044 ns/op	  14.24 MB/s	         0 internal-fault-fallbacks	     71203 signatures/s	        14.04 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  170842	     14054 ns/op	  14.23 MB/s	         0 internal-fault-fallbacks	     71156 signatures/s	        14.05 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  170822	     14051 ns/op	  14.23 MB/s	         0 internal-fault-fallbacks	     71171 signatures/s	        14.05 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  170767	     14051 ns/op	  14.23 MB/s	         0 internal-fault-fallbacks	     71167 signatures/s	        14.05 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84807	     28307 ns/op	  14.13 MB/s	         0 internal-fault-fallbacks	     70654 signatures/s	        14.15 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84807	     28308 ns/op	  14.13 MB/s	         0 internal-fault-fallbacks	     70650 signatures/s	        14.15 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84783	     28303 ns/op	  14.13 MB/s	         0 internal-fault-fallbacks	     70664 signatures/s	        14.15 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84805	     28310 ns/op	  14.13 MB/s	         0 internal-fault-fallbacks	     70646 signatures/s	        14.16 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84776	     28312 ns/op	  14.13 MB/s	         0 internal-fault-fallbacks	     70641 signatures/s	        14.16 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84760	     28314 ns/op	  14.13 MB/s	         0 internal-fault-fallbacks	     70636 signatures/s	        14.16 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84730	     28315 ns/op	  14.13 MB/s	         0 internal-fault-fallbacks	     70634 signatures/s	        14.16 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84745	     28316 ns/op	  14.13 MB/s	         0 internal-fault-fallbacks	     70632 signatures/s	        14.16 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84760	     28313 ns/op	  14.13 MB/s	         0 internal-fault-fallbacks	     70638 signatures/s	        14.16 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84736	     28317 ns/op	  14.13 MB/s	         0 internal-fault-fallbacks	     70628 signatures/s	        14.16 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   80084	     29984 ns/op	  26.68 MB/s	         0 internal-fault-fallbacks	    133407 signatures/s	         7.496 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   80036	     30020 ns/op	  26.65 MB/s	         0 internal-fault-fallbacks	    133245 signatures/s	         7.505 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   79761	     30046 ns/op	  26.63 MB/s	         0 internal-fault-fallbacks	    133130 signatures/s	         7.511 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   79996	     30001 ns/op	  26.67 MB/s	         0 internal-fault-fallbacks	    133328 signatures/s	         7.500 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   79992	     30012 ns/op	  26.66 MB/s	         0 internal-fault-fallbacks	    133280 signatures/s	         7.503 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   79972	     30009 ns/op	  26.66 MB/s	         0 internal-fault-fallbacks	    133293 signatures/s	         7.502 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   79994	     30006 ns/op	  26.66 MB/s	         0 internal-fault-fallbacks	    133306 signatures/s	         7.502 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   79978	     30004 ns/op	  26.66 MB/s	         0 internal-fault-fallbacks	    133316 signatures/s	         7.501 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   79977	     30005 ns/op	  26.66 MB/s	         0 internal-fault-fallbacks	    133313 signatures/s	         7.501 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   79974	     30018 ns/op	  26.65 MB/s	         0 internal-fault-fallbacks	    133254 signatures/s	         7.504 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  158895	     15082 ns/op	  81.69 MB/s	         0 internal-fault-fallbacks	     66305 signatures/s	        15.08 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  159192	     15076 ns/op	  81.72 MB/s	         0 internal-fault-fallbacks	     66333 signatures/s	        15.08 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  159160	     15077 ns/op	  81.71 MB/s	         0 internal-fault-fallbacks	     66327 signatures/s	        15.08 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  159142	     15079 ns/op	  81.70 MB/s	         0 internal-fault-fallbacks	     66317 signatures/s	        15.08 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  159141	     15073 ns/op	  81.73 MB/s	         0 internal-fault-fallbacks	     66342 signatures/s	        15.07 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  159261	     15070 ns/op	  81.75 MB/s	         0 internal-fault-fallbacks	     66358 signatures/s	        15.07 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  159318	     15064 ns/op	  81.78 MB/s	         0 internal-fault-fallbacks	     66382 signatures/s	        15.06 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  159288	     15066 ns/op	  81.77 MB/s	         0 internal-fault-fallbacks	     66375 signatures/s	        15.07 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  159283	     15067 ns/op	  81.77 MB/s	         0 internal-fault-fallbacks	     66370 signatures/s	        15.07 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  159240	     15066 ns/op	  81.77 MB/s	         0 internal-fault-fallbacks	     66374 signatures/s	        15.07 us/signature	       0 B/op	       0 allocs/op
