goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  169227	     14211 ns/op	  14.07 MB/s	         0 internal-fault-fallbacks	     70366 signatures/s	        14.21 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168691	     14219 ns/op	  14.07 MB/s	         0 internal-fault-fallbacks	     70327 signatures/s	        14.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168844	     14230 ns/op	  14.05 MB/s	         0 internal-fault-fallbacks	     70275 signatures/s	        14.23 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168606	     14219 ns/op	  14.07 MB/s	         0 internal-fault-fallbacks	     70330 signatures/s	        14.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  169214	     14177 ns/op	  14.11 MB/s	         0 internal-fault-fallbacks	     70534 signatures/s	        14.18 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  169270	     14195 ns/op	  14.09 MB/s	         0 internal-fault-fallbacks	     70447 signatures/s	        14.19 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168806	     14220 ns/op	  14.06 MB/s	         0 internal-fault-fallbacks	     70324 signatures/s	        14.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168590	     14232 ns/op	  14.05 MB/s	         0 internal-fault-fallbacks	     70265 signatures/s	        14.23 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168657	     14233 ns/op	  14.05 MB/s	         0 internal-fault-fallbacks	     70259 signatures/s	        14.23 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168564	     14195 ns/op	  14.09 MB/s	         0 internal-fault-fallbacks	     70448 signatures/s	        14.19 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84684	     28338 ns/op	  14.12 MB/s	         0 internal-fault-fallbacks	     70577 signatures/s	        14.17 us/signature	       0 B/op	       0 allocs/op
