goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168680	     14262 ns/op	  14.02 MB/s	         0 internal-fault-fallbacks	     70116 signatures/s	        14.26 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168079	     14283 ns/op	  14.00 MB/s	         0 internal-fault-fallbacks	     70011 signatures/s	        14.28 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168104	     14281 ns/op	  14.00 MB/s	         0 internal-fault-fallbacks	     70023 signatures/s	        14.28 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168030	     14283 ns/op	  14.00 MB/s	         0 internal-fault-fallbacks	     70014 signatures/s	        14.28 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168066	     14286 ns/op	  14.00 MB/s	         0 internal-fault-fallbacks	     69997 signatures/s	        14.29 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  167974	     14289 ns/op	  14.00 MB/s	         0 internal-fault-fallbacks	     69984 signatures/s	        14.29 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  167898	     14293 ns/op	  13.99 MB/s	         0 internal-fault-fallbacks	     69964 signatures/s	        14.29 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  167894	     14294 ns/op	  13.99 MB/s	         0 internal-fault-fallbacks	     69958 signatures/s	        14.29 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  167887	     14292 ns/op	  13.99 MB/s	         0 internal-fault-fallbacks	     69969 signatures/s	        14.29 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  167938	     14292 ns/op	  13.99 MB/s	         0 internal-fault-fallbacks	     69967 signatures/s	        14.29 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84128	     28518 ns/op	  14.03 MB/s	         0 internal-fault-fallbacks	     70130 signatures/s	        14.26 us/signature	       0 B/op	       0 allocs/op
