goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168969	     14222 ns/op	  14.06 MB/s	         0 internal-fault-fallbacks	     70313 signatures/s	        14.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168537	     14238 ns/op	  14.05 MB/s	         0 internal-fault-fallbacks	     70232 signatures/s	        14.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168613	     14246 ns/op	  14.04 MB/s	         0 internal-fault-fallbacks	     70194 signatures/s	        14.25 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168412	     14242 ns/op	  14.04 MB/s	         0 internal-fault-fallbacks	     70213 signatures/s	        14.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168378	     14246 ns/op	  14.04 MB/s	         0 internal-fault-fallbacks	     70195 signatures/s	        14.25 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168310	     14249 ns/op	  14.04 MB/s	         0 internal-fault-fallbacks	     70181 signatures/s	        14.25 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168445	     14252 ns/op	  14.03 MB/s	         0 internal-fault-fallbacks	     70165 signatures/s	        14.25 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168433	     14257 ns/op	  14.03 MB/s	         0 internal-fault-fallbacks	     70139 signatures/s	        14.26 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168194	     14267 ns/op	  14.02 MB/s	         0 internal-fault-fallbacks	     70092 signatures/s	        14.27 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=1         	  168237	     14259 ns/op	  14.03 MB/s	         0 internal-fault-fallbacks	     70129 signatures/s	        14.26 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84088	     28517 ns/op	  14.03 MB/s	         0 internal-fault-fallbacks	     70134 signatures/s	        14.26 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84134	     28519 ns/op	  14.03 MB/s	         0 internal-fault-fallbacks	     70129 signatures/s	        14.26 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84144	     28526 ns/op	  14.02 MB/s	         0 internal-fault-fallbacks	     70112 signatures/s	        14.26 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84124	     28521 ns/op	  14.02 MB/s	         0 internal-fault-fallbacks	     70124 signatures/s	        14.26 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84116	     28531 ns/op	  14.02 MB/s	         0 internal-fault-fallbacks	     70099 signatures/s	        14.27 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84127	     28526 ns/op	  14.02 MB/s	         0 internal-fault-fallbacks	     70112 signatures/s	        14.26 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84085	     28529 ns/op	  14.02 MB/s	         0 internal-fault-fallbacks	     70104 signatures/s	        14.26 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84094	     28528 ns/op	  14.02 MB/s	         0 internal-fault-fallbacks	     70106 signatures/s	        14.26 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84132	     28528 ns/op	  14.02 MB/s	         0 internal-fault-fallbacks	     70107 signatures/s	        14.26 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=2         	   84141	     28526 ns/op	  14.02 MB/s	         0 internal-fault-fallbacks	     70112 signatures/s	        14.26 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   77908	     30821 ns/op	  25.96 MB/s	         0 internal-fault-fallbacks	    129782 signatures/s	         7.705 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   77853	     30828 ns/op	  25.95 MB/s	         0 internal-fault-fallbacks	    129753 signatures/s	         7.707 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   77776	     30843 ns/op	  25.94 MB/s	         0 internal-fault-fallbacks	    129688 signatures/s	         7.711 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   77779	     30855 ns/op	  25.93 MB/s	         0 internal-fault-fallbacks	    129639 signatures/s	         7.714 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   77808	     30864 ns/op	  25.92 MB/s	         0 internal-fault-fallbacks	    129601 signatures/s	         7.716 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   77953	     30785 ns/op	  25.99 MB/s	         0 internal-fault-fallbacks	    129934 signatures/s	         7.696 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   77955	     30781 ns/op	  25.99 MB/s	         0 internal-fault-fallbacks	    129951 signatures/s	         7.695 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   77944	     30777 ns/op	  25.99 MB/s	         0 internal-fault-fallbacks	    129966 signatures/s	         7.694 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   77971	     30783 ns/op	  25.99 MB/s	         0 internal-fault-fallbacks	    129943 signatures/s	         7.696 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=4         	   77946	     30798 ns/op	  25.98 MB/s	         0 internal-fault-fallbacks	    129878 signatures/s	         7.700 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76413	     31413 ns/op	  50.93 MB/s	         0 internal-fault-fallbacks	    254673 signatures/s	         3.927 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   75496	     31796 ns/op	  50.32 MB/s	         0 internal-fault-fallbacks	    251607 signatures/s	         3.974 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76416	     31411 ns/op	  50.94 MB/s	         0 internal-fault-fallbacks	    254687 signatures/s	         3.926 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76383	     31410 ns/op	  50.94 MB/s	         0 internal-fault-fallbacks	    254693 signatures/s	         3.926 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76420	     31404 ns/op	  50.95 MB/s	         0 internal-fault-fallbacks	    254743 signatures/s	         3.926 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76428	     31413 ns/op	  50.93 MB/s	         0 internal-fault-fallbacks	    254669 signatures/s	         3.927 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76430	     31394 ns/op	  50.97 MB/s	         0 internal-fault-fallbacks	    254827 signatures/s	         3.924 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76388	     31416 ns/op	  50.93 MB/s	         0 internal-fault-fallbacks	    254647 signatures/s	         3.927 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76407	     31400 ns/op	  50.95 MB/s	         0 internal-fault-fallbacks	    254775 signatures/s	         3.925 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   76369	     31423 ns/op	  50.92 MB/s	         0 internal-fault-fallbacks	    254587 signatures/s	         3.928 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    237204 ns/op	  53.96 MB/s	         0 internal-fault-fallbacks	    269810 signatures/s	         3.706 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    236932 ns/op	  54.02 MB/s	         0 internal-fault-fallbacks	    270120 signatures/s	         3.702 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    236918 ns/op	  54.03 MB/s	         0 internal-fault-fallbacks	    270135 signatures/s	         3.702 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    236872 ns/op	  54.04 MB/s	         0 internal-fault-fallbacks	    270189 signatures/s	         3.701 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    236938 ns/op	  54.02 MB/s	         0 internal-fault-fallbacks	    270113 signatures/s	         3.702 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    236963 ns/op	  54.02 MB/s	         0 internal-fault-fallbacks	    270085 signatures/s	         3.703 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    236820 ns/op	  54.05 MB/s	         0 internal-fault-fallbacks	    270247 signatures/s	         3.700 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    236846 ns/op	  54.04 MB/s	         0 internal-fault-fallbacks	    270218 signatures/s	         3.701 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    236926 ns/op	  54.03 MB/s	         0 internal-fault-fallbacks	    270127 signatures/s	         3.702 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	   10000	    236969 ns/op	  54.02 MB/s	         0 internal-fault-fallbacks	    270078 signatures/s	         3.703 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  160090	     14897 ns/op	  82.70 MB/s	         0 internal-fault-fallbacks	     67128 signatures/s	        14.90 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  161052	     14899 ns/op	  82.69 MB/s	         0 internal-fault-fallbacks	     67118 signatures/s	        14.90 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  161064	     14902 ns/op	  82.68 MB/s	         0 internal-fault-fallbacks	     67106 signatures/s	        14.90 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  161005	     14910 ns/op	  82.63 MB/s	         0 internal-fault-fallbacks	     67069 signatures/s	        14.91 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  160812	     14920 ns/op	  82.58 MB/s	         0 internal-fault-fallbacks	     67026 signatures/s	        14.92 us/signature	       0 B/op	       0 allocs/op
